student_id,name,grade,n_requested,n_assigned,n_missing,section_ids,course_ids,missing_courses
26041,Student_26041,12,8,6,2,A1204.1|ADVHS01.34|E1201.5|J1203.3|L1304.3|OC1310.2|OH1501.2,A1204|ADVHS01|E1201|J1203|L1304|OC1310|OH1501,G1201|OI1305
27090,Student_27090,12,7,5,2,ADVHS01.34|E1201.6|J1203.3|L1304.3|OA1317.1|OH1501.2,ADVHS01|E1201|J1203|L1304|OA1317|OH1501,G1201|OI1303
27023,Student_27023,12,8,6,2,ADVHS01.36|E1201.3|G1201.3|L1303.1|OA1322.1|OB1532.1|OC1314.1,ADVHS01|E1201|G1201|L1303|OA1322|OB1532|OC1314,H1201B|I1208
27015,Student_27015,12,7,7,0,ADVHS01.32|E1201.5|G1201.6|J1203.3|L1304.1|OA1304.1|OH1501.2|OI1305.2,ADVHS01|E1201|G1201|J1203|L1304|OA1304|OH1501|OI1305,
27042,Student_27042,12,7,6,1,A1204.1|ADVHS01.32|E1201.5|G1201.4|J1203.2|L1304.3|OI1305.3,A1204|ADVHS01|E1201|G1201|J1203|L1304|OI1305,OH1501
27067,Student_27067,12,8,7,1,A1204.3|ADVHS01.32|E1201.4|G1202.1|L1302.1|OC1310.3|OH1306.1|OI1305.4,A1204|ADVHS01|E1201|G1202|L1302|OC1310|OH1306|OI1305,J1203
27066,Student_27066,12,8,7,1,A1204.2|ADVHS01.32|E1201.2|G1201.5|J1203.3|L1303.1|OC1310.2|OH1306.3,A1204|ADVHS01|E1201|G1201|J1203|L1303|OC1310|OH1306,OI1305
27104,Student_27104,12,8,7,1,A1204.3|ADVHS01.30|E1201.5|G1201.4|I1204.2|J1203.5|L1304.4|OC1310.3,A1204|ADVHS01|E1201|G1201|I1204|J1203|L1304|OC1310,OH1501
27074,Student_27074,12,8,8,0,A1204.3|ADVHS01.31|E1201.2|G1201.5|I1204.2|J1203.3|L1303.1|OH1306.3|OI1303.1,A1204|ADVHS01|E1201|G1201|I1204|J1203|L1303|OH1306|OI1303,
27180,Student_27180,12,8,7,1,ADVHS01.33|B1001.7|E1201.5|G1201.1|J1203.5|L1304.4|OH1306.1|OZ1207.1,ADVHS01|B1001|E1201|G1201|J1203|L1304|OH1306|OZ1207,OI1305
27141,Student_27141,12,8,8,0,A1204.1|ADVHS01.6|E1201.4|G1201.4|J1203.4|L1301.1|OC1310.2|OH1501.1|OI1303.1,A1204|ADVHS01|E1201|G1201|J1203|L1301|OC1310|OH1501|OI1303,
27116,Student_27116,12,8,7,1,A1204.3|ADVHS01.30|E1201.2|G1201.4|I1204.1|L1301.1|OC1314.1|OH1501.2,A1204|ADVHS01|E1201|G1201|I1204|L1301|OC1314|OH1501,OB1532
27140,Student_27140,12,8,8,0,A1204.3|ADVHS01.25|C0907.1|E1201.4|G1201.5|J1203.4|L1303.1|OH1501.2|OI1305.5,A1204|ADVHS01|C0907|E1201|G1201|J1203|L1303|OH1501|OI1305,
27120,Student_27120,12,7,7,0,ADVHS01.12|E1201.1|G1201.6|I1208.1|J1203.2|L1301.3|OA1317.1|OH1501.1,ADVHS01|E1201|G1201|I1208|J1203|L1301|OA1317|OH1501,
27103,Student_27103,12,8,6,2,A1204.2|ADVHS01.29|E1201.5|G1201.4|OH1501.1|OI1303.2|OI1305.3,A1204|ADVHS01|E1201|G1201|OH1501|OI1303|OI1305,L1303|OB1532
27027,Student_27027,12,8,8,0,A1204.2|ADVHS01.27|E1201.1|G1201.5|J1203.1|L1302.2|OC1310.2|OH1501.1|OI1305.3,A1204|ADVHS01|E1201|G1201|J1203|L1302|OC1310|OH1501|OI1305,
27019,Student_27019,12,8,8,0,A1204.3|ADVHS01.16|E1201.2|G1201.5|J1203.4|L1302.2|OC1310.1|OH1501.2|OI1305.3,A1204|ADVHS01|E1201|G1201|J1203|L1302|OC1310|OH1501|OI1305,
27018,Student_27018,12,7,7,0,ADVHS01.33|E1201.3|G1202.1|J1203.4|L1304.4|OA1322.1|OB1520.1|OH1306.3,ADVHS01|E1201|G1202|J1203|L1304|OA1322|OB1520|OH1306,
27071,Student_27071,12,8,7,1,ADVHS01.33|E1201.3|G1201.1|J1203.5|L1303.1|OA1318.1|OC1310.3|OH1501.2,ADVHS01|E1201|G1201|J1203|L1303|OA1318|OC1310|OH1501,OI1305
27005,Student_27005,12,8,6,2,ADVHS01.32|E1201.6|G1201.5|I1208.1|L1304.3|OA1322.2|OI1303.1,ADVHS01|E1201|G1201|I1208|L1304|OA1322|OI1303,OB1532|OH1501
27010,Student_27010,12,9,8,1,A1204.3|ADVHS01.31|E1201.4|G1201.5|I1212.3|I1213.3|J1203.3|OC1310.3|OI1305.4,A1204|ADVHS01|E1201|G1201|I1212|I1213|J1203|OC1310|OI1305,OH1501
27014,Student_27014,12,7,7,0,ADVHS01.28|E1201.6|G1202.1|J1203.5|L1304.1|OA1322.1|OB1520.2|OH1501.2,ADVHS01|E1201|G1202|J1203|L1304|OA1322|OB1520|OH1501,
27106,Student_27106,12,8,7,1,ADVHS01.31|E1201.2|G1201.2|J1203.4|L1303.1|OA1322.2|OI1303.2|OI1305.3,ADVHS01|E1201|G1201|J1203|L1303|OA1322|OI1303|OI1305,OH1501
27142,Student_27142,12,9,8,1,A1204.3|ADVHS01.12|E1201.3|G1202.1|I1212.2|I1213.2|J1203.2|L1304.3|OB1520.1,A1204|ADVHS01|E1201|G1202|I1212|I1213|J1203|L1304|OB1520,H1201B
26023,Student_26023,12,8,8,0,ADVHS01.6|E1201.5|G1201.5|J1203.5|L1304.4|OA1318.1|OH1501.1|OI1303.2|OI1305.5,ADVHS01|E1201|G1201|J1203|L1304|OA1318|OH1501|OI1303|OI1305,
27160,Student_27160,12,8,8,0,ADVHS01.19|E1201.1|G1201.6|I1204.1|J1203.2|L1304.3|OA1322.2|OC1305.2|OH1306.3,ADVHS01|E1201|G1201|I1204|J1203|L1304|OA1322|OC1305|OH1306,
27006,Student_27006,12,8,7,1,ADVHS01.28|E1201.6|G1201.2|I1208.1|L1302.2|L1304.1|OA1317.1|OH1501.1,ADVHS01|E1201|G1201|I1208|L1302|L1304|OA1317|OH1501,J1203
27098,Student_27098,12,8,8,0,A1204.1|ADVHS01.13|E1201.6|G1201.4|J1203.1|L1304.1|OH1306.3|OI1303.1|OI1305.2,A1204|ADVHS01|E1201|G1201|J1203|L1304|OH1306|OI1303|OI1305,
27130,Student_27130,12,8,7,1,A1204.3|ADVHS01.25|E1201.3|G1201.5|J1203.5|L1304.3|OC1310.1|OI1305.4,A1204|ADVHS01|E1201|G1201|J1203|L1304|OC1310|OI1305,OH1501
27012,Student_27012,12,7,7,0,A1204.1|ADVHS01.20|E1201.6|G1201.4|J1203.1|L1304.1|OH1501.1|OI1305.4,A1204|ADVHS01|E1201|G1201|J1203|L1304|OH1501|OI1305,
26106,Student_26106,12,9,7,2,ADVHS01.35|E1201.3|G1201.1|I1212.3|I1213.3|J1203.2|L1301.2|OH1306.2,ADVHS01|E1201|G1201|I1212|I1213|J1203|L1301|OH1306,OA1322|OI1305
27097,Student_27097,12,8,7,1,ADVHS01.13|E1201.6|G1201.5|J1203.5|L1304.1|OA1322.1|OB1520.2|OI1303.1,ADVHS01|E1201|G1201|J1203|L1304|OA1322|OB1520|OI1303,OH1501
27035,Student_27035,12,8,7,1,ADVHS01.29|E1201.6|G1201.5|L1304.1|OA1322.1|OH1306.3|OI1303.1|OI1305.5,ADVHS01|E1201|G1201|L1304|OA1322|OH1306|OI1303|OI1305,OB1532
27025,Student_27025,12,9,9,0,A1204.1|ADVHS01.2|C0907.1|E1201.4|G1202.1|I1212.1|I1213.1|J1203.4|OH1501.2|OI1303.2,A1204|ADVHS01|C0907|E1201|G1202|I1212|I1213|J1203|OH1501|OI1303,
27081,Student_27081,12,9,8,1,ADVHS01.28|E1201.6|G1201.2|I1208.1|I1212.3|I1213.3|OA1322.2|OB1520.1|OH1306.2,ADVHS01|E1201|G1201|I1208|I1212|I1213|OA1322|OB1520|OH1306,OB1532
27131,Student_27131,12,8,6,2,ADVHS01.33|E1201.3|G1201.1|J1203.5|L1304.4|OB1520.1|OH1306.2,ADVHS01|E1201|G1201|J1203|L1304|OB1520|OH1306,OA1322|OI1303
27085,Student_27085,12,8,7,1,ADVHS01.21|E1201.4|G1202.1|J1203.4|L1304.4|OA1322.2|OC1310.2|OH1306.2,ADVHS01|E1201|G1202|J1203|L1304|OA1322|OC1310|OH1306,OI1303
