kind,student_a,student_b
separation,27010,27110
separation,27010,26040
separation,27010,27164
separation,27010,27042
separation,27076,27050
separation,27076,27124
separation,27101,27086
separation,27101,27151
separation,27101,27103
separation,27048,27032
separation,27042,27124
separation,27042,27119
separation,27042,27146
grouping,27147,26106
grouping,27147,27123
grouping,27147,27068
grouping,27147,27030
grouping,26012,27023
grouping,27148,27171
grouping,27148,27080
grouping,27080,27148
grouping,27080,27113
grouping,27080,27023
grouping,27080,26012
grouping,27080,27171
grouping,27109,27022
grouping,27048,27132
grouping,27048,27131
grouping,27048,27018
grouping,27048,27071
grouping,27048,27129
grouping,27048,27030
grouping,27048,27180
grouping,27048,26012
