kind,student_a,student_b
separation,30101,30127
separation,30101,30034
separation,30101,30042
separation,30101,30105
separation,30101,30090
separation,30127,30090
separation,30127,30034
separation,30127,30042
separation,30127,30105
separation,30034,30042
separation,30034,30105
separation,30034,30090
separation,30034,30101
separation,30034,30127
separation,30004,30042
separation,30004,30127
separation,30023,30030
separation,30052,30163
separation,30163,30098
separation,30026,30139
separation,30026,29102
separation,30026,30163
separation,30026,30155
separation,30026,30122
separation,30026,30127
separation,30160,30127
separation,30160,30090
separation,30160,30029
separation,30160,30100
separation,30160,30101
separation,29083,29077
separation,29083,29164
separation,29083,28038
separation,29083,29069
separation,29083,29002
separation,29108,29038
separation,29108,29087
separation,29170,29049
separation,29087,29138
separation,29087,29036
separation,29087,29024
separation,29007,29112
separation,29085,29049
separation,29085,29050
separation,29085,28032
separation,29085,29068
separation,29085,29040
separation,29040,29022
separation,29040,29042
separation,29020,29087
separation,29069,28032
separation,29138,29040
separation,29138,29042
separation,29067,29040
separation,29136,29040
separation,29077,29173
separation,28020,28043
separation,28020,28028
separation,28020,28005
separation,28030,28058
separation,28025,28062
separation,28142,28036
separation,28142,28165
separation,28142,28073
separation,28088,28137
separation,28043,28036
separation,27010,27110
separation,27010,26040
separation,27010,27164
separation,27010,27042
separation,27076,27050
separation,27076,27124
separation,27101,27086
separation,27101,27151
separation,27101,27103
separation,27048,27032
separation,27042,27124
separation,27042,27119
separation,27042,27146
grouping,30160,30109
grouping,30160,30162
grouping,30160,30004
grouping,29083,29003
grouping,29083,29034
grouping,29128,29018
grouping,29128,29122
grouping,29108,29135
grouping,29108,29039
grouping,29108,29076
grouping,29170,29058
grouping,29030,29011
grouping,29122,29039
grouping,29087,29145
grouping,29156,29069
grouping,29070,29111
grouping,29070,29018
grouping,29172,29164
grouping,29020,28144
grouping,29126,29011
grouping,29126,29088
grouping,29126,29030
grouping,29126,29161
grouping,29011,29088
grouping,29011,29161
grouping,29018,29111
grouping,29018,29070
grouping,29018,29073
grouping,28076,28030
grouping,28030,28054
grouping,28030,28174
grouping,28030,28171
grouping,28030,28042
grouping,28174,28107
grouping,28174,28171
grouping,28174,28100
grouping,28174,28058
grouping,28174,28178
grouping,28107,28174
grouping,28107,28058
grouping,28107,28171
grouping,28107,28178
grouping,28050,28071
grouping,28050,28178
grouping,28140,27041
grouping,28140,28048
grouping,28062,28116
grouping,28062,28170
grouping,28062,28044
grouping,28062,28051
grouping,28070,28084
grouping,28070,28084
grouping,28017,28166
grouping,28017,28014
grouping,28135,28057
grouping,28100,28171
grouping,27147,26106
grouping,27147,27123
grouping,27147,27068
grouping,27147,27030
grouping,26012,27023
grouping,27148,27171
grouping,27148,27080
grouping,27080,27148
grouping,27080,27113
grouping,27080,27023
grouping,27080,26012
grouping,27080,27171
grouping,27109,27022
grouping,27063,28057
grouping,27048,27132
grouping,27048,27131
grouping,27048,27018
grouping,27048,27071
grouping,27048,27129
grouping,27048,27030
grouping,27048,27180
grouping,27048,26012
grouping,28100,28049
grouping,28100,28117
grouping,28100,28097
