student_id,course_id,course_name,is_required
26041,OI1305,Calculus,False
26041,G1201,Español & Literatura 12,False
26041,OH1501,Journalism Higher Level,False
27090,G1201,Español & Literatura 12,False
27023,H1201B,AP English Literature and Composition,False
27023,I1208,AP Calculus BC,False
27015,OH1501,Journalism Higher Level,False
27042,L1304,Life Purpose,False
27042,OH1501,Journalism Higher Level,False
27067,J1203,Tech. and Innovation for Social Change,False
27067,OI1305,Calculus,False
27066,J1203,Tech. and Innovation for Social Change,False
27116,OB1532,AP Research,False
27140,J1203,Tech. and Innovation for Social Change,False
27103,L1303,Pensar nuestro tiempo,False
27103,OB1532,AP Research,False
27027,OI1305,Calculus,False
27019,A1204,Environmental Science,False
27005,OB1532,AP Research,False
27010,OH1501,Journalism Higher Level,False
27010,A1204,Environmental Science,False
27142,H1201B,AP English Literature and Composition,False
26023,OH1501,Journalism Higher Level,False
27160,L1304,Life Purpose,False
27006,OH1501,Journalism Higher Level,False
27130,OH1501,Journalism Higher Level,False
26106,OI1305,Calculus,False
27097,OH1501,Journalism Higher Level,False
27097,OA1322,AP Physics 2,False
27035,OB1532,AP Research,False
27025,OH1501,Journalism Higher Level,False
27081,OB1532,AP Research,False
27085,L1304,Life Purpose,False
27040,L1304,Life Purpose,False
27055,OB1532,AP Research,False
27108,OA1322,AP Physics 2,False
27123,OB1532,AP Research,False
27127,OB1532,AP Research,False
26040,OH1501,Journalism Higher Level,False
27043,OH1501,Journalism Higher Level,False
27043,OB1532,AP Research,False
27079,OB1532,AP Research,False
27111,OH1501,Journalism Higher Level,False
27073,H1201B,AP English Literature and Composition,False
27073,OB1532,AP Research,False
27028,OB1532,AP Research,False
27046,OA1322,AP Physics 2,False
27129,OA1322,AP Physics 2,False
27151,L1303,Pensar nuestro tiempo,False
27151,OB1532,AP Research,False
27151,OZ1313,AP Computer Science A,False
27148,H1201B,AP English Literature and Composition,False
27148,OB1532,AP Research,False
27001,OB1532,AP Research,False
27113,H1201B,AP English Literature and Composition,False
27113,OB1532,AP Research,False
27078,OH1501,Journalism Higher Level,False
27179,OJ1203,Entrepreneurship Business Technology,False
27163,OA1317,AP Chemistry,False
27063,OB1532,AP Research,False
27032,OA1317,AP Chemistry,False
27126,OH1501,Journalism Higher Level,False
27124,H1201B,AP English Literature and Composition,False
27124,OB1532,AP Research,False
27134,H1201B,AP English Literature and Composition,False
27134,OB1532,AP Research,False
27068,OB1532,AP Research,False
27036,A1204,Environmental Science,False
27172,OB1532,AP Research,False
27002,OB1532,AP Research,False
27109,I1208,AP Calculus BC,False
27109,H1201B,AP English Literature and Composition,False
26012,H1201B,AP English Literature and Composition,False
27044,OA1322,AP Physics 2,False
27164,H1201B,AP English Literature and Composition,False
27132,OH1501,Journalism Higher Level,False
27162,OA1322,AP Physics 2,False
27162,OB1532,AP Research,False
27147,OA1322,AP Physics 2,False
27076,C0905,Band Level II,False
27146,H1201B,AP English Literature and Composition,False
27146,OB1520,AP Statistics,False
27096,H1201B,AP English Literature and Composition,False
27096,OB1532,AP Research,False
27077,OB1532,AP Research,False
27110,OH1501,Journalism Higher Level,False
27119,L1303,Pensar nuestro tiempo,False
27118,H1201B,AP English Literature and Composition,False
28070,H1206,AP English Language & Composition,False
28108,L1304,Life Purpose,False
28158,OH1305,Art of Fiction Intermediate Level,False
28177,OC1306,Sculpture I,False
28094,L1304,Life Purpose,False
28020,G1203,Español & Literatura 11,False
28113,C0905,Band Level II,False
28038,L1302,Introduction to Law,False
28038,OH1401,Journalism Intermediate Level,False
28090,OC1305,Painting I,False
28121,OJ1203,Entrepreneurship Business Technology,False
27041,I1204,AP Calculus AB,False
