course_id,name,department,is_required,credits,meetings_per_week,max_size,min_size,required_room_type,qualified_teacher_ids,is_lab,is_advisory,term,prerequisite_course_ids
OJ1204,Creative Design,Technology,False,1.0,3,25,5,standard,8754,False,False,year,
OC1307,Drawing I,Arts,False,1.0,3,25,5,standard,1251,False,False,year,
A1204,Environmental Science,Science,False,1.0,3,25,5,standard,8303,False,False,year,
H1001,English 10,English,False,1.0,3,25,5,standard,9793|8307|11252,False,False,year,
H0904,English 9,English,False,1.0,3,25,5,standard,9793|11252,False,False,year,
OJ1203,Entrepreneurship Business Technology,Technology,False,1.0,3,25,5,standard,6354,False,False,year,
G1203,Español & Literatura 11,Spanish,False,1.0,3,25,5,standard,5108,False,False,year,
G1201,Español & Literatura 12,Spanish,False,1.0,3,25,5,standard,342|9811|5108,False,False,year,
G0901,Español & Literatura 9,Spanish,False,1.0,3,25,5,standard,8470|8106,False,False,year,
OI1303,Financial Math,Math,False,1.0,3,25,5,standard,4202,False,False,year,
J0903,FRC 9,Technology,False,1.0,3,25,5,standard,10760,False,False,year,
I1003,Geometry,Math,False,1.0,3,25,5,standard,10853|339,False,False,year,
L1302,Introduction to Law,Social Stu,False,1.0,3,25,5,standard,502,False,False,year,
OH1501,Journalism Higher Level,English,False,1.0,3,25,5,standard,8307,False,False,year,
OH1401,Journalism Intermediate Level,English,False,1.0,3,25,5,standard,8307,False,False,year,
L1304,Life Purpose,Social Stu,False,1.0,3,25,5,standard,502|364,False,False,year,
OC1305,Painting I,Arts,False,1.0,3,25,5,standard,3752|1251,False,False,year,
OC1310,Painting II,Arts,False,1.0,3,25,5,standard,1251,False,False,year,
L1303,Pensar nuestro tiempo,Social Stu,False,1.0,3,25,5,standard,502,False,False,year,
E1001,Physical Education and Health 10,PE,True,1.0,3,130,5,standard,6602,False,False,year,
E1101,Physical Education and Health 11,PE,True,1.0,3,130,5,standard,9822,False,False,year,
E1201,Physical Education and Health 12,PE,True,1.0,3,130,5,standard,602,False,False,year,
E0901,Physical Education and Health 9,PE,True,1.0,3,130,5,standard,5609,False,False,year,
A1105,Physics 11,Science,False,1.0,3,25,5,standard,2023|9803|11253,False,False,year,
OC1306,Sculpture I,Arts,False,1.0,3,25,5,standard,3752,False,False,year,
B1001,Social Sciences 10,Social Stu,False,1.0,3,25,5,standard,9811|5306,False,False,year,
B0901,Social Studies 9,Social Stu,False,1.0,3,25,5,standard,6766|10153|9797,False,False,year,
G0902,Spanish 9 (Foreign Language),Spanish,False,1.0,3,25,5,standard,8470,False,False,year,
VHS0052,"Spanish Film, Art, and Literature",Spanish,False,1.0,3,25,5,standard,9811,False,False,year,
J1203,Tech. and Innovation for Social Change,Technology,False,1.0,3,25,5,standard,10760|6354,False,False,year,
J0901,Technology 9,Technology,False,1.0,3,25,5,standard,8754,False,False,year,
