Student_Number,Course_Number,Section_Number,Dateenrolled,DateLeft,Term_Number,SchoolID,Section_ID_Internal
29057,A1006,106,,,3600,13000,A1006.6
29057,ADVHS01,131,,,3600,13000,ADVHS01.31
29057,B1001,104,,,3600,13000,B1001.4
29057,C0904,104,,,3600,13000,C0904.4
29057,E1001,101,,,3600,13000,E1001.1
29057,G1004,107,,,3600,13000,G1004.7
29057,I1211,101,,,3600,13000,I1211.1
29057,OZ1323,101,,,3600,13000,OZ1323.1
29037,A1006,106,,,3600,13000,A1006.6
29037,ADVHS01,131,,,3600,13000,ADVHS01.31
29037,B1001,107,,,3600,13000,B1001.7
29037,B1006,102,,,3600,13000,B1006.2
29037,E1001,101,,,3600,13000,E1001.1
29037,G1004,101,,,3600,13000,G1004.1
29037,H1001,102,,,3600,13000,H1001.2
29037,I1003,105,,,3600,13000,I1003.5
26041,A1204,101,,,3600,13000,A1204.1
26041,ADVHS01,134,,,3600,13000,ADVHS01.34
26041,E1201,106,,,3600,13000,E1201.6
26041,G1201,106,,,3600,13000,G1201.6
26041,J1203,103,,,3600,13000,J1203.3
26041,L1304,102,,,3600,13000,L1304.2
26041,OC1310,102,,,3600,13000,OC1310.2
26041,OH1501,102,,,3600,13000,OH1501.2
26041,OI1305,105,,,3600,13000,OI1305.5
27090,ADVHS01,119,,,3600,13000,ADVHS01.19
27090,E1201,103,,,3600,13000,E1201.3
27090,G1201,104,,,3600,13000,G1201.4
27090,I1211,102,,,3600,13000,I1211.2
27090,J1203,104,,,3600,13000,J1203.4
27090,L1304,103,,,3600,13000,L1304.3
27090,OA1317,101,,,3600,13000,OA1317.1
27090,OH1501,102,,,3600,13000,OH1501.2
27090,OI1303,101,,,3600,13000,OI1303.1
29174,A1006,104,,,3600,13000,A1006.4
29174,ADVHS01,107,,,3600,13000,ADVHS01.7
29174,B1001,103,,,3600,13000,B1001.3
29174,E1001,106,,,3600,13000,E1001.6
29174,G1004,107,,,3600,13000,G1004.7
29174,I1214,102,,,3600,13000,I1214.2
29174,OC1307,101,,,3600,13000,OC1307.1
29174,OI1003,101,,,3600,13000,OI1003.1
29174,OZ1323,105,,,3600,13000,OZ1323.5
28110,ADVHS01,133,,,3600,13000,ADVHS01.33
28110,C0904,103,,,3600,13000,C0904.3
28110,E1101,104,,,3600,13000,E1101.4
28110,G1203,102,,,3600,13000,G1203.2
28110,OB1520,102,,,3600,13000,OB1520.2
28110,OH1305,101,,,3600,13000,OH1305.1
28110,OI1003,106,,,3600,13000,OI1003.6
30056,ADVHS01,133,,,3600,13000,ADVHS01.33
30056,B0901,107,,,3600,13000,B0901.7
30056,E0901,102,,,3600,13000,E0901.2
30056,G0901,106,,,3600,13000,G0901.6
30056,H0904,101,,,3600,13000,H0904.1
30056,I1003,102,,,3600,13000,I1003.2
30056,J0901,103,,,3600,13000,J0901.3
30056,OC1307,101,,,3600,13000,OC1307.1
28070,A1105,102,,,3600,13000,A1105.2
28070,ADVHS01,128,,,3600,13000,ADVHS01.28
28070,E1101,106,,,3600,13000,E1101.6
28070,G1203,103,,,3600,13000,G1203.3
28070,H1206,101,,,3600,13000,H1206.1
28070,I1211,102,,,3600,13000,I1211.2
28070,OC1307,101,,,3600,13000,OC1307.1
28070,OJ1203,102,,,3600,13000,OJ1203.2
27023,ADVHS01,130,,,3600,13000,ADVHS01.30
27023,E1201,102,,,3600,13000,E1201.2
27023,G1201,102,,,3600,13000,G1201.2
27023,H1201B,101,,,3600,13000,H1201B.1
27023,I1208,101,,,3600,13000,I1208.1
27023,L1303,101,,,3600,13000,L1303.1
27023,OC1314,101,,,3600,13000,OC1314.1
30051,ADVHS01,132,,,3600,13000,ADVHS01.32
30051,B0901,105,,,3600,13000,B0901.5
30051,E0901,102,,,3600,13000,E0901.2
30051,G0901,102,,,3600,13000,G0901.2
30051,H0904,102,,,3600,13000,H0904.2
30051,I0903,102,,,3600,13000,I0903.2
30051,J0901,103,,,3600,13000,J0901.3
30051,OC1307,101,,,3600,13000,OC1307.1
30080,A0901,103,,,3600,13000,A0901.3
30080,ADVHS01,116,,,3600,13000,ADVHS01.16
30080,B0901,107,,,3600,13000,B0901.7
30080,E0901,103,,,3600,13000,E0901.3
30080,G0901,105,,,3600,13000,G0901.5
30080,I1003,104,,,3600,13000,I1003.4
30080,J0903,103,,,3600,13000,J0903.3
30080,OC1307,101,,,3600,13000,OC1307.1
28108,ADVHS01,119,,,3600,13000,ADVHS01.19
28108,E1101,106,,,3600,13000,E1101.6
28108,G1203,103,,,3600,13000,G1203.3
28108,I1211,102,,,3600,13000,I1211.2
28108,OC1313,101,,,3600,13000,OC1313.1
28108,OH1305,102,,,3600,13000,OH1305.2
28108,OJ1203,102,,,3600,13000,OJ1203.2
28115,A1105,102,,,3600,13000,A1105.2
28115,ADVHS01,121,,,3600,13000,ADVHS01.21
28115,E1101,104,,,3600,13000,E1101.4
28115,G1203,101,,,3600,13000,G1203.1
28115,L1301,101,,,3600,13000,L1301.1
28115,OC1314,101,,,3600,13000,OC1314.1
28115,OH1401,101,,,3600,13000,OH1401.1
28115,OI1003,104,,,3600,13000,OI1003.4
28115,OJ1203,101,,,3600,13000,OJ1203.1
29043,A1006,103,,,3600,13000,A1006.3
29043,ADVHS01,110,,,3600,13000,ADVHS01.10
29043,B1001,104,,,3600,13000,B1001.4
29043,C0904,104,,,3600,13000,C0904.4
29043,E1001,101,,,3600,13000,E1001.1
29043,G1004,106,,,3600,13000,G1004.6
29043,H1001,101,,,3600,13000,H1001.1
29043,I1211,101,,,3600,13000,I1211.1
29043,OZ1323,105,,,3600,13000,OZ1323.5
29111,A1006,107,,,3600,13000,A1006.7
29111,ADVHS01,118,,,3600,13000,ADVHS01.18
29111,B1001,107,,,3600,13000,B1001.7
29111,B1006,101,,,3600,13000,B1006.1
29111,E1001,103,,,3600,13000,E1001.3
29111,G1004,104,,,3600,13000,G1004.4
29111,H1001,102,,,3600,13000,H1001.2
29111,I1211,101,,,3600,13000,I1211.1
27015,ADVHS01,121,,,3600,13000,ADVHS01.21
27015,E1201,102,,,3600,13000,E1201.2
27015,G1201,102,,,3600,13000,G1201.2
27015,J1203,105,,,3600,13000,J1203.5
27015,L1304,102,,,3600,13000,L1304.2
27015,OA1304,101,,,3600,13000,OA1304.1
27015,OH1501,102,,,3600,13000,OH1501.2
27015,OI1003,102,,,3600,13000,OI1003.2
27015,OI1305,104,,,3600,13000,OI1305.4
27042,ADVHS01,126,,,3600,13000,ADVHS01.26
27042,E1201,101,,,3600,13000,E1201.1
27042,G1201,105,,,3600,13000,G1201.5
27042,J1203,105,,,3600,13000,J1203.5
27042,L1304,102,,,3600,13000,L1304.2
27042,OC1313,101,,,3600,13000,OC1313.1
27042,OH1501,101,,,3600,13000,OH1501.1
27042,OI1305,102,,,3600,13000,OI1305.2
28158,ADVHS01,106,,,3600,13000,ADVHS01.6
28158,C0904,101,,,3600,13000,C0904.1
28158,E1101,106,,,3600,13000,E1101.6
28158,G1203,101,,,3600,13000,G1203.1
28158,I1204,102,,,3600,13000,I1204.2
28158,OA1319,102,,,3600,13000,OA1319.2
28158,OB1520,101,,,3600,13000,OB1520.1
28158,OH1305,101,,,3600,13000,OH1305.1
30105,A0901,103,,,3600,13000,A0901.3
30105,ADVHS01,109,,,3600,13000,ADVHS01.9
30105,B0901,105,,,3600,13000,B0901.5
30105,C0904,103,,,3600,13000,C0904.3
30105,E0901,105,,,3600,13000,E0901.5
30105,G0901,101,,,3600,13000,G0901.1
30105,I0903,101,,,3600,13000,I0903.1
30105,J0903,103,,,3600,13000,J0903.3
30107,ADVHS01,114,,,3600,13000,ADVHS01.14
30107,B0901,105,,,3600,13000,B0901.5
30107,E0901,101,,,3600,13000,E0901.1
30107,G0901,103,,,3600,13000,G0901.3
30107,H0904,101,,,3600,13000,H0904.1
30107,I1003,103,,,3600,13000,I1003.3
30107,J0901,103,,,3600,13000,J0901.3
30107,OC1305,101,,,3600,13000,OC1305.1
30090,A0901,103,,,3600,13000,A0901.3
30090,ADVHS01,108,,,3600,13000,ADVHS01.8
30090,B0901,104,,,3600,13000,B0901.4
30090,C0904,104,,,3600,13000,C0904.4
30090,E0901,106,,,3600,13000,E0901.6
30090,G0901,106,,,3600,13000,G0901.6
30090,H0904,104,,,3600,13000,H0904.4
30090,I0903,101,,,3600,13000,I0903.1
30090,J0903,101,,,3600,13000,J0903.1
27067,A1204,102,,,3600,13000,A1204.2
27067,ADVHS01,110,,,3600,13000,ADVHS01.10
27067,E1201,105,,,3600,13000,E1201.5
27067,G1202,101,,,3600,13000,G1202.1
27067,J1203,104,,,3600,13000,J1203.4
27067,L1302,101,,,3600,13000,L1302.1
27067,OC1310,101,,,3600,13000,OC1310.1
27067,OH1306,103,,,3600,13000,OH1306.3
27067,OI1305,102,,,3600,13000,OI1305.2
27066,ADVHS01,122,,,3600,13000,ADVHS01.22
27066,E1201,101,,,3600,13000,E1201.1
27066,G1201,106,,,3600,13000,G1201.6
27066,J1203,101,,,3600,13000,J1203.1
27066,L1303,101,,,3600,13000,L1303.1
27066,OC1310,102,,,3600,13000,OC1310.2
27066,OH1306,103,,,3600,13000,OH1306.3
27066,OI1305,102,,,3600,13000,OI1305.2
28177,ADVHS01,105,,,3600,13000,ADVHS01.5
28177,E1101,101,,,3600,13000,E1101.1
28177,I1204,102,,,3600,13000,I1204.2
28177,OA1317,101,,,3600,13000,OA1317.1
28177,OA1319,102,,,3600,13000,OA1319.2
28177,OC1306,101,,,3600,13000,OC1306.1
28177,OH1305,102,,,3600,13000,OH1305.2
28177,VHS0052,102,,,3600,13000,VHS0052.2
27104,A1204,101,,,3600,13000,A1204.1
27104,ADVHS01,130,,,3600,13000,ADVHS01.30
27104,E1201,103,,,3600,13000,E1201.3
27104,G1201,103,,,3600,13000,G1201.3
27104,I1204,101,,,3600,13000,I1204.1
27104,L1304,103,,,3600,13000,L1304.3
27104,OC1310,102,,,3600,13000,OC1310.2
27104,OH1501,101,,,3600,13000,OH1501.1
28094,ADVHS01,131,,,3600,13000,ADVHS01.31
28094,E1101,101,,,3600,13000,E1101.1
28094,G1203,104,,,3600,13000,G1203.4
28094,OC1310,103,,,3600,13000,OC1310.3
28094,OH1305,103,,,3600,13000,OH1305.3
28094,OI1003,102,,,3600,13000,OI1003.2
28094,OJ1203,102,,,3600,13000,OJ1203.2
27074,ADVHS01,110,,,3600,13000,ADVHS01.10
27074,E1201,106,,,3600,13000,E1201.6
27074,G1201,106,,,3600,13000,G1201.6
27074,J1203,102,,,3600,13000,J1203.2
27074,L1303,101,,,3600,13000,L1303.1
27074,OH1306,103,,,3600,13000,OH1306.3
27074,OI1303,101,,,3600,13000,OI1303.1
28020,ADVHS01,117,,,3600,13000,ADVHS01.17
28020,C0904,104,,,3600,13000,C0904.4
28020,E1101,106,,,3600,13000,E1101.6
28020,G1203,102,,,3600,13000,G1203.2
28020,I1204,102,,,3600,13000,I1204.2
28020,OA1319,102,,,3600,13000,OA1319.2
28020,OB1520,101,,,3600,13000,OB1520.1
28020,OH1305,101,,,3600,13000,OH1305.1
30026,A0901,103,,,3600,13000,A0901.3
30026,ADVHS01,134,,,3600,13000,ADVHS01.34
30026,B0901,107,,,3600,13000,B0901.7
30026,C0904,104,,,3600,13000,C0904.4
30026,E0901,103,,,3600,13000,E0901.3
30026,G0901,101,,,3600,13000,G0901.1
30026,H0904,102,,,3600,13000,H0904.2
30026,I0903,102,,,3600,13000,I0903.2
30026,J0903,101,,,3600,13000,J0903.1
30104,A0901,103,,,3600,13000,A0901.3
30104,ADVHS01,113,,,3600,13000,ADVHS01.13
30104,B0901,104,,,3600,13000,B0901.4
30104,C0904,104,,,3600,13000,C0904.4
30104,E0901,106,,,3600,13000,E0901.6
30104,G0901,102,,,3600,13000,G0901.2
30104,I1003,101,,,3600,13000,I1003.1
30104,J0901,103,,,3600,13000,J0901.3
30075,A0901,103,,,3600,13000,A0901.3
30075,ADVHS01,105,,,3600,13000,ADVHS01.5
30075,B0901,104,,,3600,13000,B0901.4
30075,E0901,105,,,3600,13000,E0901.5
30075,G0901,105,,,3600,13000,G0901.5
30075,I1003,106,,,3600,13000,I1003.6
30075,J0901,103,,,3600,13000,J0901.3
30012,ADVHS01,114,,,3600,13000,ADVHS01.14
30012,B0901,105,,,3600,13000,B0901.5
30012,E0901,102,,,3600,13000,E0901.2
30012,G0901,102,,,3600,13000,G0901.2
30012,H0904,101,,,3600,13000,H0904.1
30012,I1003,104,,,3600,13000,I1003.4
30012,J0903,103,,,3600,13000,J0903.3
30012,OC1307,101,,,3600,13000,OC1307.1
30087,ADVHS01,134,,,3600,13000,ADVHS01.34
30087,B0901,107,,,3600,13000,B0901.7
30087,E0901,105,,,3600,13000,E0901.5
30087,G0901,107,,,3600,13000,G0901.7
30087,H0904,101,,,3600,13000,H0904.1
30087,I1003,103,,,3600,13000,I1003.3
30087,J0901,103,,,3600,13000,J0901.3
30087,OC1306,101,,,3600,13000,OC1306.1
30050,A0901,104,,,3600,13000,A0901.4
30050,ADVHS01,111,,,3600,13000,ADVHS01.11
30050,B0901,105,,,3600,13000,B0901.5
30050,E0901,105,,,3600,13000,E0901.5
30050,G0901,107,,,3600,13000,G0901.7
30050,H0904,102,,,3600,13000,H0904.2
30050,I0903,101,,,3600,13000,I0903.1
30050,J0903,101,,,3600,13000,J0903.1
30050,OC1305,104,,,3600,13000,OC1305.4
27180,ADVHS01,117,,,3600,13000,ADVHS01.17
27180,B1001,101,,,3600,13000,B1001.1
27180,E1201,103,,,3600,13000,E1201.3
27180,G1201,105,,,3600,13000,G1201.5
27180,J1203,101,,,3600,13000,J1203.1
27180,L1304,102,,,3600,13000,L1304.2
27180,OH1306,102,,,3600,13000,OH1306.2
27180,OI1305,105,,,3600,13000,OI1305.5
27180,OZ1207,102,,,3600,13000,OZ1207.2
28075,ADVHS01,134,,,3600,13000,ADVHS01.34
28075,E1101,104,,,3600,13000,E1101.4
28075,G1203,104,,,3600,13000,G1203.4
28075,I1204,102,,,3600,13000,I1204.2
28075,L1301,101,,,3600,13000,L1301.1
28075,OC1310,103,,,3600,13000,OC1310.3
28075,OH1305,101,,,3600,13000,OH1305.1
29073,A1006,104,,,3600,13000,A1006.4
29073,ADVHS01,124,,,3600,13000,ADVHS01.24
29073,B1001,103,,,3600,13000,B1001.3
29073,G1004,106,,,3600,13000,G1004.6
29073,I1211,102,,,3600,13000,I1211.2
29073,I1214,103,,,3600,13000,I1214.3
30169,A0901,102,,,3600,13000,A0901.2
30169,ADVHS01,127,,,3600,13000,ADVHS01.27
