Day,Block,Period,SectionNumber,Section_ID_Internal,CourseID,TeacherID,RoomID
E,3,3(E),101,ADVHS01.1,ADVHS01,8456,4
E,1,1(E)3(C)5(A),101,C0904.1,C0904,8456,25
C,3,1(E)3(C)5(A),101,C0904.1,C0904,8456,25
A,5,1(E)3(C)5(A),101,C0904.1,C0904,8456,25
B,1,1(B)2(E)4(C),102,C0904.2,C0904,8456,25
E,2,1(B)2(E)4(C),102,C0904.2,C0904,8456,25
C,4,1(B)2(E)4(C),102,C0904.2,C0904,8456,25
A,1,1(A)2(D)4(B),103,C0904.3,C0904,8456,25
D,2,1(A)2(D)4(B),103,C0904.3,C0904,8456,25
B,4,1(A)2(D)4(B),103,C0904.3,C0904,8456,25
C,2,2(C)4(A)5(D),104,C0904.4,C0904,8456,25
A,4,2(C)4(A)5(D),104,C0904.4,C0904,8456,25
D,5,2(C)4(A)5(D),104,C0904.4,C0904,8456,25
D,1,1(D)3(B)5(E),101,C0905.1,C0905,8456,25
B,3,1(D)3(B)5(E),101,C0905.1,C0905,8456,25
E,5,1(D)3(B)5(E),101,C0905.1,C0905,8456,25
A,2,2(A)3(D)5(B),101,C0907.1,C0907,8456,25
D,3,2(A)3(D)5(B),101,C0907.1,C0907,8456,25
B,5,2(A)3(D)5(B),101,C0907.1,C0907,8456,25
E,3,3(E),102,ADVHS01.2,ADVHS01,4202,304
E,1,1(E)3(C)5(A),101,I1211.1,I1211,4202,19
C,3,1(E)3(C)5(A),101,I1211.1,I1211,4202,19
A,5,1(E)3(C)5(A),101,I1211.1,I1211,4202,19
B,1,1(B)2(E)4(C),102,I1211.2,I1211,4202,19
E,2,1(B)2(E)4(C),102,I1211.2,I1211,4202,19
C,4,1(B)2(E)4(C),102,I1211.2,I1211,4202,19
A,1,1(A)2(D)4(B),101,OI1003.1,OI1003,4202,19
D,2,1(A)2(D)4(B),101,OI1003.1,OI1003,4202,19
B,4,1(A)2(D)4(B),101,OI1003.1,OI1003,4202,19
A,2,2(A)3(D)5(B),101,OI1303.1,OI1303,4202,19
D,3,2(A)3(D)5(B),101,OI1303.1,OI1303,4202,19
B,5,2(A)3(D)5(B),101,OI1303.1,OI1303,4202,19
C,2,2(C)4(A)5(D),102,OI1303.2,OI1303,4202,19
A,4,2(C)4(A)5(D),102,OI1303.2,OI1303,4202,19
D,5,2(C)4(A)5(D),102,OI1303.2,OI1303,4202,19
E,3,3(E),103,ADVHS01.3,ADVHS01,3752,303
B,1,1(B)2(E)4(C),101,I1215.1,I1215,3752,11
E,2,1(B)2(E)4(C),101,I1215.1,I1215,3752,11
C,4,1(B)2(E)4(C),101,I1215.1,I1215,3752,11
E,1,1(E)3(C)5(A),101,OC1305.1,OC1305,3752,11
C,3,1(E)3(C)5(A),101,OC1305.1,OC1305,3752,11
A,5,1(E)3(C)5(A),101,OC1305.1,OC1305,3752,11
C,2,2(C)4(A)5(D),102,OC1305.2,OC1305,3752,11
A,4,2(C)4(A)5(D),102,OC1305.2,OC1305,3752,11
D,5,2(C)4(A)5(D),102,OC1305.2,OC1305,3752,11
A,1,1(A)2(D)4(B),103,OC1305.3,OC1305,3752,11
D,2,1(A)2(D)4(B),103,OC1305.3,OC1305,3752,11
B,4,1(A)2(D)4(B),103,OC1305.3,OC1305,3752,11
D,1,1(D)3(B)5(E),101,OC1306.1,OC1306,3752,11
