kind,student_a,student_b
separation,M2026313,M2026440
separation,M2026102,M2026213
separation,M2026427,M2026572
separation,M2026390,M2026462
separation,M2026232,M2026536
separation,M2026122,M2026255
separation,M2026153,M2026577
separation,M2026062,M2026583
separation,M2026305,M2026454
separation,M2026088,M2026312
grouping,M2026217,M2026271
grouping,M2026034,M2026238
grouping,M2026299,M2026482
grouping,M2026084,M2026161
grouping,M2026419,M2026462
grouping,M2026003,M2026161
grouping,M2026077,M2026566
grouping,M2026178,M2026246
