course_id,name,department,is_required,credits,meetings_per_week,max_size,min_size,required_room_type,qualified_teacher_ids,is_lab,is_advisory,term,prerequisite_course_ids
ADV_MS,MS Advisory,advisory,True,1.0,1,22,5,standard,__ANY__,False,True,year,
ENG6,English 6,english,True,1.0,3,24,5,standard,T600|T601|T602|T603|T604|T605|T606|T607|T608|T609|T610|T611|T612|T613|T614,False,False,year,
MATH6,Math 6,math,True,1.0,3,24,5,standard,T615|T616|T617|T618|T619|T620|T621|T622|T623|T624|T625|T626|T627|T628|T629,False,False,year,
SCI6,Science 6,science,True,1.0,3,24,5,science_lab,T630|T631|T632|T633|T634|T635|T636|T637|T638|T639|T640|T641|T642|T643|T644,True,False,year,
SS6,Social Studies 6,social_studies,True,1.0,3,24,5,standard,T645|T646|T647|T648|T649|T650|T651|T652|T653|T654|T655|T656|T657|T658|T659,False,False,year,
SPAN6,Spanish 6,world_lang,True,1.0,3,24,5,standard,T660|T661|T662|T663|T664|T665|T666|T667|T668|T669,False,False,year,
PE6,PE 6,pe,True,1.0,3,24,5,gym,T675|T676|T677|T678|T679|T680|T681|T682|T683|T684,False,False,year,
ENG7,English 7,english,True,1.0,3,24,5,standard,T600|T601|T602|T603|T604|T605|T606|T607|T608|T609|T610|T611|T612|T613|T614,False,False,year,
MATH7,Pre-Algebra,math,True,1.0,3,24,5,standard,T615|T616|T617|T618|T619|T620|T621|T622|T623|T624|T625|T626|T627|T628|T629,False,False,year,
SCI7,Science 7,science,True,1.0,3,24,5,science_lab,T630|T631|T632|T633|T634|T635|T636|T637|T638|T639|T640|T641|T642|T643|T644,True,False,year,
SS7,Social Studies 7,social_studies,True,1.0,3,24,5,standard,T645|T646|T647|T648|T649|T650|T651|T652|T653|T654|T655|T656|T657|T658|T659,False,False,year,
SPAN7,Spanish 7,world_lang,True,1.0,3,24,5,standard,T660|T661|T662|T663|T664|T665|T666|T667|T668|T669,False,False,year,
PE7,PE 7,pe,True,1.0,3,24,5,gym,T675|T676|T677|T678|T679|T680|T681|T682|T683|T684,False,False,year,
ENG8,English 8,english,True,1.0,3,24,5,standard,T600|T601|T602|T603|T604|T605|T606|T607|T608|T609|T610|T611|T612|T613|T614,False,False,year,
MATH8,Algebra I,math,True,1.0,3,24,5,standard,T615|T616|T617|T618|T619|T620|T621|T622|T623|T624|T625|T626|T627|T628|T629,False,False,year,
SCI8,Science 8 (Earth),science,True,1.0,3,24,5,science_lab,T630|T631|T632|T633|T634|T635|T636|T637|T638|T639|T640|T641|T642|T643|T644,True,False,year,
SS8,World History 8,social_studies,True,1.0,3,24,5,standard,T645|T646|T647|T648|T649|T650|T651|T652|T653|T654|T655|T656|T657|T658|T659,False,False,year,
SPAN8,Spanish 8,world_lang,True,1.0,3,24,5,standard,T660|T661|T662|T663|T664|T665|T666|T667|T668|T669,False,False,year,
PE8,PE 8,pe,True,1.0,3,24,5,gym,T675|T676|T677|T678|T679|T680|T681|T682|T683|T684,False,False,year,
MUS_MS,Band / Choir,arts,False,1.0,3,24,5,music,T685|T686|T687|T688|T689|T690|T691|T692|T693|T694,False,False,year,
DRAMA_MS,Drama,arts,False,1.0,3,24,5,art,T685|T686|T687|T688|T689|T690|T691|T692|T693|T694,False,False,year,
TECH_MS,Tech / Robotics,tech,False,1.0,3,24,5,computer_lab,T670|T671|T672|T673|T674,False,False,year,
ART_MS,Visual Art,arts,False,1.0,3,24,5,art,T685|T686|T687|T688|T689|T690|T691|T692|T693|T694,False,False,year,
