room_id,name,capacity,room_type,department
R001,Room 1,28,standard,
R002,Room 2,28,standard,
R003,Room 3,28,standard,
R004,Room 4,28,standard,
R005,Room 5,28,standard,
R006,Room 6,28,standard,
R007,Room 7,28,standard,
R008,Room 8,28,standard,
R009,Room 9,28,standard,
R010,Room 10,28,standard,
R011,Room 11,28,standard,
R012,Room 12,28,standard,
R013,Room 13,28,standard,
R014,Room 14,28,standard,
R015,Room 15,28,standard,
R016,Room 16,28,standard,
R017,Room 17,28,standard,
R018,Room 18,28,standard,
R019,Room 19,28,standard,
R020,Room 20,28,standard,
R021,Room 21,28,standard,
R022,Room 22,28,standard,
R023,Room 23,28,standard,
R024,Room 24,28,standard,
R025,Room 25,28,standard,
R026,Room 26,28,standard,
R027,Room 27,28,standard,
R028,Room 28,28,standard,
R029,Room 29,28,standard,
R030,Room 30,28,standard,
R031,Room 31,28,standard,
R032,Room 32,28,standard,
R033,Room 33,28,standard,
R034,Room 34,28,standard,
R035,Room 35,28,standard,
R036,Room 36,28,standard,
R037,Room 37,28,standard,
R038,Room 38,28,standard,
R039,Room 39,28,standard,
R040,Room 40,28,standard,
R041,Room 41,28,standard,
R042,Room 42,28,standard,
R043,Room 43,28,standard,
R044,Room 44,28,standard,
R045,Room 45,28,standard,
R046,Room 46,28,standard,
R047,Room 47,28,standard,
R048,Room 48,28,standard,
R049,Room 49,28,standard,
R050,Room 50,28,standard,
R051,Room 51,28,standard,
R052,Room 52,28,standard,
R053,Room 53,28,standard,
R054,Room 54,28,standard,
R055,Room 55,28,standard,
R056,Room 56,28,standard,
R057,Room 57,28,standard,
R058,Room 58,28,standard,
R059,Room 59,28,standard,
R060,Room 60,28,standard,
R061,Room 61,28,standard,
R062,Room 62,28,standard,
R063,Room 63,28,standard,
R064,Room 64,28,standard,
R065,Room 65,28,standard,
R066,Room 66,28,standard,
R067,Room 67,28,standard,
R068,Room 68,28,standard,
R069,Room 69,28,standard,
R070,Room 70,28,standard,
R071,Lab 71,26,science_lab,
R072,Lab 72,26,science_lab,
R073,Lab 73,26,science_lab,
R074,Lab 74,26,science_lab,
R075,Lab 75,26,science_lab,
R076,Lab 76,26,science_lab,
R077,Lab 77,26,science_lab,
R078,Lab 78,26,science_lab,
R079,Lab 79,26,science_lab,
R080,Lab 80,26,science_lab,
R081,Lab 81,26,science_lab,
R082,Lab 82,26,science_lab,
R083,Lab 83,26,science_lab,
R084,Lab 84,26,science_lab,
R085,Lab 85,26,science_lab,
R086,Comp Lab 86,26,computer_lab,
R087,Comp Lab 87,26,computer_lab,
R088,Comp Lab 88,26,computer_lab,
R089,Comp Lab 89,26,computer_lab,
R090,Comp Lab 90,26,computer_lab,
R091,Comp Lab 91,26,computer_lab,
R092,Comp Lab 92,26,computer_lab,
R093,Comp Lab 93,26,computer_lab,
R094,Comp Lab 94,26,computer_lab,
R095,Comp Lab 95,26,computer_lab,
R096,Art Studio,25,art,
R097,Music Hall,30,music,
R098,Gymnasium,40,gym,
R099,Art Studio 2,25,art,
R100,Music Hall 2,30,music,
R101,Gymnasium 2,40,gym,
R102,Art Studio 3,25,art,
R103,Music Hall 3,30,music,
R104,Gymnasium 3,40,gym,
R105,Art Studio 4,25,art,
R106,Music Hall 4,30,music,
R107,Gymnasium 4,40,gym,
R108,Art Studio 5,25,art,
R109,Music Hall 5,30,music,
R110,Gymnasium 5,40,gym,
