sourcedId,status,dateLastModified,title,grades,courseSourcedId,classCode,classType,location,schoolSourcedId,termSourcedIds,subjects,subjectCodes,periods
class-ADV_MS.1,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.1,homeroom,Room 1,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.2,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.2,homeroom,Room 2,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.3,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.3,homeroom,Room 3,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.4,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.4,homeroom,Room 4,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.5,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.5,homeroom,Room 5,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.6,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.6,homeroom,Room 6,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.7,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.7,homeroom,Room 7,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.8,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.8,homeroom,Room 8,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.9,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.9,homeroom,Room 9,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.10,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.10,homeroom,Room 10,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.11,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.11,homeroom,Room 11,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.12,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.12,homeroom,Room 12,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.13,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.13,homeroom,Room 13,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.14,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.14,homeroom,Room 14,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.15,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.15,homeroom,Room 15,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.16,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.16,homeroom,Room 16,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.17,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.17,homeroom,Room 17,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.18,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.18,homeroom,Room 18,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.19,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.19,homeroom,Room 19,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.20,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.20,homeroom,Room 20,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.21,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.21,homeroom,Room 21,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.22,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.22,homeroom,Room 22,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.23,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.23,homeroom,Room 23,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.24,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.24,homeroom,Room 24,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.25,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.25,homeroom,Room 25,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.26,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.26,homeroom,Room 26,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.27,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.27,homeroom,Room 27,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ADV_MS.28,active,2026-04-26T07:42:10.000Z,MS Advisory,6,course-ADV_MS,ADV_MS.28,homeroom,Room 28,school-columbus-middle-school,term-2026-2027,advisory,advisory,ADV | E-3
class-ENG6.1,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.1,scheduled,Room 70,school-columbus-middle-school,term-2026-2027,english,english,"P02 | A-2,D-3,B-5"
class-ENG6.2,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.2,scheduled,Room 60,school-columbus-middle-school,term-2026-2027,english,english,"P06 | B-1,E-2,C-4"
class-ENG6.3,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.3,scheduled,Room 58,school-columbus-middle-school,term-2026-2027,english,english,"P06 | B-1,E-2,C-4"
class-ENG6.4,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.4,scheduled,Room 56,school-columbus-middle-school,term-2026-2027,english,english,"P01 | A-1,D-2,B-4"
class-ENG6.5,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.5,scheduled,Room 68,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
class-ENG6.6,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.6,scheduled,Room 55,school-columbus-middle-school,term-2026-2027,english,english,"P06 | B-1,E-2,C-4"
class-ENG6.7,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.7,scheduled,Room 52,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
class-ENG6.8,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.8,scheduled,Room 50,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
class-ENG6.9,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.9,scheduled,Room 48,school-columbus-middle-school,term-2026-2027,english,english,"P07 | B-2,E-4,C-5"
class-ENG6.10,active,2026-04-26T07:42:10.000Z,English 6,6,course-ENG6,ENG6.10,scheduled,Room 61,school-columbus-middle-school,term-2026-2027,english,english,"P08 | D-1,B-3,E-5"
