sourcedId,status,dateLastModified,schoolYearSourcedId,title,courseCode,grades,orgSourcedId,subjects,subjectCodes
course-ADV_MS,active,2026-04-26T07:42:10.000Z,term-2026-2027,MS Advisory,ADV_MS,"6,7,8",school-columbus-middle-school,advisory,advisory
course-ENG6,active,2026-04-26T07:42:10.000Z,term-2026-2027,English 6,ENG6,6,school-columbus-middle-school,english,english
course-MATH6,active,2026-04-26T07:42:10.000Z,term-2026-2027,Math 6,MATH6,6,school-columbus-middle-school,math,math
course-SCI6,active,2026-04-26T07:42:10.000Z,term-2026-2027,Science 6,SCI6,6,school-columbus-middle-school,science,science
course-SS6,active,2026-04-26T07:42:10.000Z,term-2026-2027,Social Studies 6,SS6,6,school-columbus-middle-school,social_studies,social_studies
course-SPAN6,active,2026-04-26T07:42:10.000Z,term-2026-2027,Spanish 6,SPAN6,6,school-columbus-middle-school,world_lang,world_lang
course-PE6,active,2026-04-26T07:42:10.000Z,term-2026-2027,PE 6,PE6,6,school-columbus-middle-school,pe,pe
course-ENG7,active,2026-04-26T07:42:10.000Z,term-2026-2027,English 7,ENG7,7,school-columbus-middle-school,english,english
course-MATH7,active,2026-04-26T07:42:10.000Z,term-2026-2027,Pre-Algebra,MATH7,7,school-columbus-middle-school,math,math
course-SCI7,active,2026-04-26T07:42:10.000Z,term-2026-2027,Science 7,SCI7,7,school-columbus-middle-school,science,science
course-SS7,active,2026-04-26T07:42:10.000Z,term-2026-2027,Social Studies 7,SS7,7,school-columbus-middle-school,social_studies,social_studies
course-SPAN7,active,2026-04-26T07:42:10.000Z,term-2026-2027,Spanish 7,SPAN7,7,school-columbus-middle-school,world_lang,world_lang
course-PE7,active,2026-04-26T07:42:10.000Z,term-2026-2027,PE 7,PE7,7,school-columbus-middle-school,pe,pe
course-ENG8,active,2026-04-26T07:42:10.000Z,term-2026-2027,English 8,ENG8,8,school-columbus-middle-school,english,english
course-MATH8,active,2026-04-26T07:42:10.000Z,term-2026-2027,Algebra I,MATH8,8,school-columbus-middle-school,math,math
course-SCI8,active,2026-04-26T07:42:10.000Z,term-2026-2027,Science 8 (Earth),SCI8,8,school-columbus-middle-school,science,science
course-SS8,active,2026-04-26T07:42:10.000Z,term-2026-2027,World History 8,SS8,8,school-columbus-middle-school,social_studies,social_studies
course-SPAN8,active,2026-04-26T07:42:10.000Z,term-2026-2027,Spanish 8,SPAN8,8,school-columbus-middle-school,world_lang,world_lang
course-PE8,active,2026-04-26T07:42:10.000Z,term-2026-2027,PE 8,PE8,8,school-columbus-middle-school,pe,pe
course-MUS_MS,active,2026-04-26T07:42:10.000Z,term-2026-2027,Band / Choir,MUS_MS,"7,8",school-columbus-middle-school,arts,arts
course-DRAMA_MS,active,2026-04-26T07:42:10.000Z,term-2026-2027,Drama,DRAMA_MS,"7,8",school-columbus-middle-school,arts,arts
course-TECH_MS,active,2026-04-26T07:42:10.000Z,term-2026-2027,Tech / Robotics,TECH_MS,"7,8",school-columbus-middle-school,tech,tech
course-ART_MS,active,2026-04-26T07:42:10.000Z,term-2026-2027,Visual Art,ART_MS,"7,8",school-columbus-middle-school,arts,arts
