sourcedId,status,dateLastModified,classSourcedId,schoolSourcedId,userSourcedId,role,primary,beginDate,endDate
enr-t-T600-ADV_MS.1,active,2026-04-26T07:42:10.000Z,class-ADV_MS.1,school-columbus-middle-school,teacher-T600,teacher,true,2026-08-01,2027-05-31
enr-t-T601-ADV_MS.2,active,2026-04-26T07:42:10.000Z,class-ADV_MS.2,school-columbus-middle-school,teacher-T601,teacher,true,2026-08-01,2027-05-31
enr-t-T602-ADV_MS.3,active,2026-04-26T07:42:10.000Z,class-ADV_MS.3,school-columbus-middle-school,teacher-T602,teacher,true,2026-08-01,2027-05-31
enr-t-T603-ADV_MS.4,active,2026-04-26T07:42:10.000Z,class-ADV_MS.4,school-columbus-middle-school,teacher-T603,teacher,true,2026-08-01,2027-05-31
enr-t-T604-ADV_MS.5,active,2026-04-26T07:42:10.000Z,class-ADV_MS.5,school-columbus-middle-school,teacher-T604,teacher,true,2026-08-01,2027-05-31
enr-t-T605-ADV_MS.6,active,2026-04-26T07:42:10.000Z,class-ADV_MS.6,school-columbus-middle-school,teacher-T605,teacher,true,2026-08-01,2027-05-31
enr-t-T606-ADV_MS.7,active,2026-04-26T07:42:10.000Z,class-ADV_MS.7,school-columbus-middle-school,teacher-T606,teacher,true,2026-08-01,2027-05-31
enr-t-T607-ADV_MS.8,active,2026-04-26T07:42:10.000Z,class-ADV_MS.8,school-columbus-middle-school,teacher-T607,teacher,true,2026-08-01,2027-05-31
enr-t-T608-ADV_MS.9,active,2026-04-26T07:42:10.000Z,class-ADV_MS.9,school-columbus-middle-school,teacher-T608,teacher,true,2026-08-01,2027-05-31
enr-t-T609-ADV_MS.10,active,2026-04-26T07:42:10.000Z,class-ADV_MS.10,school-columbus-middle-school,teacher-T609,teacher,true,2026-08-01,2027-05-31
enr-t-T610-ADV_MS.11,active,2026-04-26T07:42:10.000Z,class-ADV_MS.11,school-columbus-middle-school,teacher-T610,teacher,true,2026-08-01,2027-05-31
enr-t-T611-ADV_MS.12,active,2026-04-26T07:42:10.000Z,class-ADV_MS.12,school-columbus-middle-school,teacher-T611,teacher,true,2026-08-01,2027-05-31
enr-t-T612-ADV_MS.13,active,2026-04-26T07:42:10.000Z,class-ADV_MS.13,school-columbus-middle-school,teacher-T612,teacher,true,2026-08-01,2027-05-31
enr-t-T613-ADV_MS.14,active,2026-04-26T07:42:10.000Z,class-ADV_MS.14,school-columbus-middle-school,teacher-T613,teacher,true,2026-08-01,2027-05-31
enr-t-T614-ADV_MS.15,active,2026-04-26T07:42:10.000Z,class-ADV_MS.15,school-columbus-middle-school,teacher-T614,teacher,true,2026-08-01,2027-05-31
enr-t-T615-ADV_MS.16,active,2026-04-26T07:42:10.000Z,class-ADV_MS.16,school-columbus-middle-school,teacher-T615,teacher,true,2026-08-01,2027-05-31
enr-t-T616-ADV_MS.17,active,2026-04-26T07:42:10.000Z,class-ADV_MS.17,school-columbus-middle-school,teacher-T616,teacher,true,2026-08-01,2027-05-31
