SchoolID,StudentID,SectionID,CourseID,TermID
Columbus Middle School,M2026001,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026001,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026001,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026001,PE6.8,PE6,2026-2027
Columbus Middle School,M2026001,SCI6.9,SCI6,2026-2027
Columbus Middle School,M2026001,SPAN6.10,SPAN6,2026-2027
Columbus Middle School,M2026001,SS6.8,SS6,2026-2027
Columbus Middle School,M2026002,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026002,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026002,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026002,PE6.10,PE6,2026-2027
Columbus Middle School,M2026002,SCI6.10,SCI6,2026-2027
Columbus Middle School,M2026002,SPAN6.8,SPAN6,2026-2027
Columbus Middle School,M2026002,SS6.8,SS6,2026-2027
Columbus Middle School,M2026003,ADV_MS.28,ADV_MS,2026-2027
Columbus Middle School,M2026003,ENG6.6,ENG6,2026-2027
Columbus Middle School,M2026003,MATH6.9,MATH6,2026-2027
Columbus Middle School,M2026003,PE6.10,PE6,2026-2027
Columbus Middle School,M2026003,SCI6.9,SCI6,2026-2027
Columbus Middle School,M2026003,SPAN6.10,SPAN6,2026-2027
Columbus Middle School,M2026003,SS6.10,SS6,2026-2027
Columbus Middle School,M2026004,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026004,ENG6.10,ENG6,2026-2027
Columbus Middle School,M2026004,MATH6.10,MATH6,2026-2027
Columbus Middle School,M2026004,PE6.10,PE6,2026-2027
Columbus Middle School,M2026004,SCI6.8,SCI6,2026-2027
Columbus Middle School,M2026004,SPAN6.8,SPAN6,2026-2027
Columbus Middle School,M2026004,SS6.9,SS6,2026-2027
Columbus Middle School,M2026005,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026005,ENG6.7,ENG6,2026-2027
Columbus Middle School,M2026005,MATH6.8,MATH6,2026-2027
Columbus Middle School,M2026005,PE6.5,PE6,2026-2027
Columbus Middle School,M2026005,SCI6.6,SCI6,2026-2027
Columbus Middle School,M2026005,SPAN6.6,SPAN6,2026-2027
Columbus Middle School,M2026005,SS6.8,SS6,2026-2027
Columbus Middle School,M2026006,ADV_MS.27,ADV_MS,2026-2027
Columbus Middle School,M2026006,ENG6.8,ENG6,2026-2027
