Day,Block,Period,SectionID,CourseID,TeacherID,RoomID
E,3,ADV,ADV_MS.1,ADV_MS,T600,R001
E,3,ADV,ADV_MS.2,ADV_MS,T601,R002
E,3,ADV,ADV_MS.3,ADV_MS,T602,R003
E,3,ADV,ADV_MS.4,ADV_MS,T603,R004
E,3,ADV,ADV_MS.5,ADV_MS,T604,R005
E,3,ADV,ADV_MS.6,ADV_MS,T605,R006
E,3,ADV,ADV_MS.7,ADV_MS,T606,R007
E,3,ADV,ADV_MS.8,ADV_MS,T607,R008
E,3,ADV,ADV_MS.9,ADV_MS,T608,R009
E,3,ADV,ADV_MS.10,ADV_MS,T609,R010
E,3,ADV,ADV_MS.11,ADV_MS,T610,R011
E,3,ADV,ADV_MS.12,ADV_MS,T611,R012
E,3,ADV,ADV_MS.13,ADV_MS,T612,R013
E,3,ADV,ADV_MS.14,ADV_MS,T613,R014
E,3,ADV,ADV_MS.15,ADV_MS,T614,R015
E,3,ADV,ADV_MS.16,ADV_MS,T615,R016
E,3,ADV,ADV_MS.17,ADV_MS,T616,R017
E,3,ADV,ADV_MS.18,ADV_MS,T617,R018
E,3,ADV,ADV_MS.19,ADV_MS,T618,R019
E,3,ADV,ADV_MS.20,ADV_MS,T619,R020
E,3,ADV,ADV_MS.21,ADV_MS,T620,R021
E,3,ADV,ADV_MS.22,ADV_MS,T621,R022
E,3,ADV,ADV_MS.23,ADV_MS,T622,R023
E,3,ADV,ADV_MS.24,ADV_MS,T623,R024
E,3,ADV,ADV_MS.25,ADV_MS,T624,R025
E,3,ADV,ADV_MS.26,ADV_MS,T625,R026
E,3,ADV,ADV_MS.27,ADV_MS,T626,R027
E,3,ADV,ADV_MS.28,ADV_MS,T627,R028
A,2,P02,ENG6.1,ENG6,T600,R070
D,3,P02,ENG6.1,ENG6,T600,R070
B,5,P02,ENG6.1,ENG6,T600,R070
B,1,P06,ENG6.2,ENG6,T601,R060
E,2,P06,ENG6.2,ENG6,T601,R060
C,4,P06,ENG6.2,ENG6,T601,R060
B,1,P06,ENG6.3,ENG6,T602,R058
E,2,P06,ENG6.3,ENG6,T602,R058
C,4,P06,ENG6.3,ENG6,T602,R058
A,1,P01,ENG6.4,ENG6,T603,R056
D,2,P01,ENG6.4,ENG6,T603,R056
B,4,P01,ENG6.4,ENG6,T603,R056
D,1,P08,ENG6.5,ENG6,T604,R068
B,3,P08,ENG6.5,ENG6,T604,R068
E,5,P08,ENG6.5,ENG6,T604,R068
B,1,P06,ENG6.6,ENG6,T605,R055
E,2,P06,ENG6.6,ENG6,T605,R055
C,4,P06,ENG6.6,ENG6,T605,R055
D,1,P08,ENG6.7,ENG6,T606,R052
B,3,P08,ENG6.7,ENG6,T606,R052
E,5,P08,ENG6.7,ENG6,T606,R052
D,1,P08,ENG6.8,ENG6,T607,R050
B,3,P08,ENG6.8,ENG6,T607,R050
E,5,P08,ENG6.8,ENG6,T607,R050
B,2,P07,ENG6.9,ENG6,T608,R048
E,4,P07,ENG6.9,ENG6,T608,R048
C,5,P07,ENG6.9,ENG6,T608,R048
D,1,P08,ENG6.10,ENG6,T609,R061
B,3,P08,ENG6.10,ENG6,T609,R061
E,5,P08,ENG6.10,ENG6,T609,R061
C,1,P03,MATH6.1,MATH6,T615,R046
A,3,P03,MATH6.1,MATH6,T615,R046
D,4,P03,MATH6.1,MATH6,T615,R046
B,2,P07,MATH6.2,MATH6,T616,R038
E,4,P07,MATH6.2,MATH6,T616,R038
C,5,P07,MATH6.2,MATH6,T616,R038
C,2,P04,MATH6.3,MATH6,T617,R051
A,4,P04,MATH6.3,MATH6,T617,R051
D,5,P04,MATH6.3,MATH6,T617,R051
A,1,P01,MATH6.4,MATH6,T618,R034
D,2,P01,MATH6.4,MATH6,T618,R034
B,4,P01,MATH6.4,MATH6,T618,R034
B,1,P06,MATH6.5,MATH6,T619,R044
E,2,P06,MATH6.5,MATH6,T619,R044
C,4,P06,MATH6.5,MATH6,T619,R044
C,2,P04,MATH6.6,MATH6,T620,R037
A,4,P04,MATH6.6,MATH6,T620,R037
D,5,P04,MATH6.6,MATH6,T620,R037
C,1,P03,MATH6.7,MATH6,T621,R036
A,3,P03,MATH6.7,MATH6,T621,R036
D,4,P03,MATH6.7,MATH6,T621,R036
A,2,P02,MATH6.8,MATH6,T622,R044
D,3,P02,MATH6.8,MATH6,T622,R044
B,5,P02,MATH6.8,MATH6,T622,R044
E,1,P05,MATH6.9,MATH6,T623,R026
C,3,P05,MATH6.9,MATH6,T623,R026
A,5,P05,MATH6.9,MATH6,T623,R026
C,1,P03,MATH6.10,MATH6,T624,R059
A,3,P03,MATH6.10,MATH6,T624,R059
D,4,P03,MATH6.10,MATH6,T624,R059
B,2,P07,SCI6.1,SCI6,T630,R071
E,4,P07,SCI6.1,SCI6,T630,R071
C,5,P07,SCI6.1,SCI6,T630,R071
B,1,P06,SCI6.2,SCI6,T631,R072
E,2,P06,SCI6.2,SCI6,T631,R072
C,4,P06,SCI6.2,SCI6,T631,R072
C,2,P04,SCI6.3,SCI6,T632,R074
A,4,P04,SCI6.3,SCI6,T632,R074
D,5,P04,SCI6.3,SCI6,T632,R074
C,2,P04,SCI6.4,SCI6,T633,R073
A,4,P04,SCI6.4,SCI6,T633,R073
D,5,P04,SCI6.4,SCI6,T633,R073
A,2,P02,SCI6.5,SCI6,T634,R073
D,3,P02,SCI6.5,SCI6,T634,R073
B,5,P02,SCI6.5,SCI6,T634,R073
C,1,P03,SCI6.6,SCI6,T635,R077
A,3,P03,SCI6.6,SCI6,T635,R077
D,4,P03,SCI6.6,SCI6,T635,R077
A,1,P01,SCI6.7,SCI6,T636,R079
D,2,P01,SCI6.7,SCI6,T636,R079
B,4,P01,SCI6.7,SCI6,T636,R079
B,2,P07,SCI6.8,SCI6,T637,R073
E,4,P07,SCI6.8,SCI6,T637,R073
C,5,P07,SCI6.8,SCI6,T637,R073
D,1,P08,SCI6.9,SCI6,T638,R074
B,3,P08,SCI6.9,SCI6,T638,R074
E,5,P08,SCI6.9,SCI6,T638,R074
B,2,P07,SCI6.10,SCI6,T639,R072
E,4,P07,SCI6.10,SCI6,T639,R072
C,5,P07,SCI6.10,SCI6,T639,R072
E,1,P05,SS6.1,SS6,T645,R024
C,3,P05,SS6.1,SS6,T645,R024
A,5,P05,SS6.1,SS6,T645,R024
E,1,P05,SS6.2,SS6,T646,R017
C,3,P05,SS6.2,SS6,T646,R017
A,5,P05,SS6.2,SS6,T646,R017
E,1,P05,SS6.3,SS6,T647,R015
C,3,P05,SS6.3,SS6,T647,R015
A,5,P05,SS6.3,SS6,T647,R015
A,1,P01,SS6.4,SS6,T648,R013
D,2,P01,SS6.4,SS6,T648,R013
B,4,P01,SS6.4,SS6,T648,R013
E,1,P05,SS6.5,SS6,T649,R022
C,3,P05,SS6.5,SS6,T649,R022
A,5,P05,SS6.5,SS6,T649,R022
C,2,P04,SS6.6,SS6,T650,R015
A,4,P04,SS6.6,SS6,T650,R015
D,5,P04,SS6.6,SS6,T650,R015
E,1,P05,SS6.7,SS6,T651,R009
C,3,P05,SS6.7,SS6,T651,R009
A,5,P05,SS6.7,SS6,T651,R009
E,1,P05,SS6.8,SS6,T652,R008
C,3,P05,SS6.8,SS6,T652,R008
A,5,P05,SS6.8,SS6,T652,R008
B,1,P06,SS6.9,SS6,T653,R008
E,2,P06,SS6.9,SS6,T653,R008
C,4,P06,SS6.9,SS6,T653,R008
C,1,P03,SS6.10,SS6,T654,R063
A,3,P03,SS6.10,SS6,T654,R063
D,4,P03,SS6.10,SS6,T654,R063
A,1,P01,SPAN6.1,SPAN6,T660,R003
D,2,P01,SPAN6.1,SPAN6,T660,R003
B,4,P01,SPAN6.1,SPAN6,T660,R003
B,2,P07,SPAN6.2,SPAN6,T661,R003
E,4,P07,SPAN6.2,SPAN6,T661,R003
C,5,P07,SPAN6.2,SPAN6,T661,R003
C,1,P03,SPAN6.3,SPAN6,T662,R069
A,3,P03,SPAN6.3,SPAN6,T662,R069
D,4,P03,SPAN6.3,SPAN6,T662,R069
B,1,P06,SPAN6.4,SPAN6,T663,R025
E,2,P06,SPAN6.4,SPAN6,T663,R025
C,4,P06,SPAN6.4,SPAN6,T663,R025
A,2,P02,SPAN6.5,SPAN6,T664,R013
D,3,P02,SPAN6.5,SPAN6,T664,R013
B,5,P02,SPAN6.5,SPAN6,T664,R013
B,2,P07,SPAN6.6,SPAN6,T665,R059
E,4,P07,SPAN6.6,SPAN6,T665,R059
C,5,P07,SPAN6.6,SPAN6,T665,R059
C,1,P03,SPAN6.7,SPAN6,T666,R070
A,3,P03,SPAN6.7,SPAN6,T666,R070
D,4,P03,SPAN6.7,SPAN6,T666,R070
A,2,P02,SPAN6.8,SPAN6,T667,R022
D,3,P02,SPAN6.8,SPAN6,T667,R022
B,5,P02,SPAN6.8,SPAN6,T667,R022
B,2,P07,SPAN6.9,SPAN6,T668,R004
E,4,P07,SPAN6.9,SPAN6,T668,R004
C,5,P07,SPAN6.9,SPAN6,T668,R004
B,2,P07,SPAN6.10,SPAN6,T669,R001
E,4,P07,SPAN6.10,SPAN6,T669,R001
C,5,P07,SPAN6.10,SPAN6,T669,R001
B,1,P06,PE6.1,PE6,T675,R104
E,2,P06,PE6.1,PE6,T675,R104
C,4,P06,PE6.1,PE6,T675,R104
E,1,P05,PE6.2,PE6,T676,R110
C,3,P05,PE6.2,PE6,T676,R110
A,5,P05,PE6.2,PE6,T676,R110
A,1,P01,PE6.3,PE6,T677,R110
D,2,P01,PE6.3,PE6,T677,R110
B,4,P01,PE6.3,PE6,T677,R110
C,2,P04,PE6.4,PE6,T678,R098
A,4,P04,PE6.4,PE6,T678,R098
D,5,P04,PE6.4,PE6,T678,R098
B,1,P06,PE6.5,PE6,T679,R110
E,2,P06,PE6.5,PE6,T679,R110
C,4,P06,PE6.5,PE6,T679,R110
A,2,P02,PE6.6,PE6,T680,R110
D,3,P02,PE6.6,PE6,T680,R110
B,5,P02,PE6.6,PE6,T680,R110
E,1,P05,PE6.7,PE6,T681,R107
C,3,P05,PE6.7,PE6,T681,R107
A,5,P05,PE6.7,PE6,T681,R107
A,2,P02,PE6.8,PE6,T682,R107
D,3,P02,PE6.8,PE6,T682,R107
B,5,P02,PE6.8,PE6,T682,R107
D,1,P08,PE6.9,PE6,T683,R104
B,3,P08,PE6.9,PE6,T683,R104
E,5,P08,PE6.9,PE6,T683,R104
A,1,P01,PE6.10,PE6,T684,R098
D,2,P01,PE6.10,PE6,T684,R098
B,4,P01,PE6.10,PE6,T684,R098
D,1,P08,ENG7.1,ENG7,T610,R001
B,3,P08,ENG7.1,ENG7,T610,R001
E,5,P08,ENG7.1,ENG7,T610,R001
D,1,P08,ENG7.2,ENG7,T611,R004
B,3,P08,ENG7.2,ENG7,T611,R004
E,5,P08,ENG7.2,ENG7,T611,R004
D,1,P08,ENG7.3,ENG7,T612,R006
B,3,P08,ENG7.3,ENG7,T612,R006
E,5,P08,ENG7.3,ENG7,T612,R006
D,1,P08,ENG7.4,ENG7,T613,R025
B,3,P08,ENG7.4,ENG7,T613,R025
E,5,P08,ENG7.4,ENG7,T613,R025
C,2,P04,ENG7.5,ENG7,T614,R066
A,4,P04,ENG7.5,ENG7,T614,R066
D,5,P04,ENG7.5,ENG7,T614,R066
E,1,P05,ENG7.6,ENG7,T600,R070
C,3,P05,ENG7.6,ENG7,T600,R070
A,5,P05,ENG7.6,ENG7,T600,R070
D,1,P08,ENG7.7,ENG7,T601,R059
B,3,P08,ENG7.7,ENG7,T601,R059
E,5,P08,ENG7.7,ENG7,T601,R059
A,1,P01,ENG7.8,ENG7,T602,R057
D,2,P01,ENG7.8,ENG7,T602,R057
B,4,P01,ENG7.8,ENG7,T602,R057
D,1,P08,ENG7.9,ENG7,T603,R070
B,3,P08,ENG7.9,ENG7,T603,R070
E,5,P08,ENG7.9,ENG7,T603,R070
B,1,P06,ENG7.10,ENG7,T604,R069
E,2,P06,ENG7.10,ENG7,T604,R069
C,4,P06,ENG7.10,ENG7,T604,R069
B,2,P07,MATH7.1,MATH7,T625,R033
E,4,P07,MATH7.1,MATH7,T625,R033
C,5,P07,MATH7.1,MATH7,T625,R033
A,1,P01,MATH7.2,MATH7,T626,R009
D,2,P01,MATH7.2,MATH7,T626,R009
B,4,P01,MATH7.2,MATH7,T626,R009
A,2,P02,MATH7.3,MATH7,T627,R015
D,3,P02,MATH7.3,MATH7,T627,R015
B,5,P02,MATH7.3,MATH7,T627,R015
B,1,P06,MATH7.4,MATH7,T628,R007
E,2,P06,MATH7.4,MATH7,T628,R007
C,4,P06,MATH7.4,MATH7,T628,R007
C,1,P03,MATH7.5,MATH7,T629,R060
A,3,P03,MATH7.5,MATH7,T629,R060
D,4,P03,MATH7.5,MATH7,T629,R060
C,2,P04,MATH7.6,MATH7,T615,R069
A,4,P04,MATH7.6,MATH7,T615,R069
D,5,P04,MATH7.6,MATH7,T615,R069
B,1,P06,MATH7.7,MATH7,T616,R037
E,2,P06,MATH7.7,MATH7,T616,R037
C,4,P06,MATH7.7,MATH7,T616,R037
C,1,P03,MATH7.8,MATH7,T617,R035
A,3,P03,MATH7.8,MATH7,T617,R035
D,4,P03,MATH7.8,MATH7,T617,R035
D,1,P08,MATH7.9,MATH7,T618,R033
B,3,P08,MATH7.9,MATH7,T618,R033
E,5,P08,MATH7.9,MATH7,T618,R033
D,1,P08,MATH7.10,MATH7,T619,R041
B,3,P08,MATH7.10,MATH7,T619,R041
E,5,P08,MATH7.10,MATH7,T619,R041
E,1,P05,SCI7.1,SCI7,T640,R073
C,3,P05,SCI7.1,SCI7,T640,R073
A,5,P05,SCI7.1,SCI7,T640,R073
C,2,P04,SCI7.2,SCI7,T641,R072
A,4,P04,SCI7.2,SCI7,T641,R072
D,5,P04,SCI7.2,SCI7,T641,R072
A,1,P01,SCI7.3,SCI7,T642,R072
D,2,P01,SCI7.3,SCI7,T642,R072
B,4,P01,SCI7.3,SCI7,T642,R072
C,1,P03,SCI7.4,SCI7,T643,R071
A,3,P03,SCI7.4,SCI7,T643,R071
D,4,P03,SCI7.4,SCI7,T643,R071
C,2,P04,SCI7.5,SCI7,T644,R083
A,4,P04,SCI7.5,SCI7,T644,R083
