kind,student_a,student_b
separation,S2026010,S2026020
separation,S2026082,S2026110
separation,S2026023,S2026058
separation,S2026069,S2026128
separation,S2026006,S2026064
separation,S2026005,S2026068
separation,S2026112,S2026126
separation,S2026010,S2026044
separation,S2026113,S2026120
separation,S2026046,S2026071
grouping,S2026023,S2026120
grouping,S2026009,S2026102
grouping,S2026111,S2026125
grouping,S2026082,S2026085
grouping,S2026073,S2026126
grouping,S2026089,S2026104
grouping,S2026084,S2026105
grouping,S2026026,S2026041
