room_id,name,capacity,room_type,department
R001,Room 1,28,standard,
R002,Room 2,28,standard,
R003,Room 3,28,standard,
R004,Room 4,28,standard,
R005,Room 5,28,standard,
R006,Room 6,28,standard,
R007,Room 7,28,standard,
R008,Room 8,28,standard,
R009,Room 9,28,standard,
R010,Room 10,28,standard,
R011,Room 11,28,standard,
R012,Room 12,28,standard,
R013,Room 13,28,standard,
R014,Room 14,28,standard,
R015,Lab 15,26,science_lab,
R016,Lab 16,26,science_lab,
R017,Lab 17,26,science_lab,
R018,Comp Lab 18,26,computer_lab,
R019,Comp Lab 19,26,computer_lab,
R020,Art Studio,25,art,
R021,Music Hall,30,music,
R022,Gymnasium,40,gym,
