section_id,course_id,teacher_id,room_id,max_size,grade_level,locked_scheme,locked_room_id
ADV.1,ADV,T100,,25,12,,
ADV.2,ADV,T101,,25,12,,
ADV.3,ADV,T102,,25,12,,
ADV.4,ADV,T103,,25,12,,
ADV.5,ADV,T104,,25,12,,
ADV.6,ADV,T105,,25,12,,
ENG12.1,ENG12,T100,,25,12,,
ENG12.2,ENG12,T101,,25,12,,
ENG12.3,ENG12,T102,,25,12,,
ENG12.4,ENG12,T100,,25,12,,
ENG12.5,ENG12,T101,,25,12,,
ENG12.6,ENG12,T102,,25,12,,
CALC.1,CALC,T103,,25,12,,
CALC.2,CALC,T104,,25,12,,
CALC.3,CALC,T105,,25,12,,
CALC.4,CALC,T103,,25,12,,
STATS.1,STATS,T104,,25,12,,
STATS.2,STATS,T105,,25,12,,
STATS.3,STATS,T103,,25,12,,
STATS.4,STATS,T104,,25,12,,
BIO.1,BIO,T106,,25,12,,
BIO.2,BIO,T107,,25,12,,
BIO.3,BIO,T108,,25,12,,
CHEM.1,CHEM,T106,,25,12,,
CHEM.2,CHEM,T107,,25,12,,
CHEM.3,CHEM,T108,,25,12,,
CHEM.4,CHEM,T106,,25,12,,
PHYS.1,PHYS,T107,,25,12,,
PHYS.2,PHYS,T108,,25,12,,
PHYS.3,PHYS,T106,,25,12,,
HIST.1,HIST,T110,,25,12,,
HIST.2,HIST,T111,,25,12,,
HIST.3,HIST,T112,,25,12,,
GOV.1,GOV,T110,,25,12,,
GOV.2,GOV,T111,,25,12,,
GOV.3,GOV,T112,,25,12,,
GOV.4,GOV,T110,,25,12,,
GOV.5,GOV,T111,,25,12,,
GOV.6,GOV,T112,,25,12,,
SPAN.1,SPAN,T113,,25,12,,
SPAN.2,SPAN,T114,,25,12,,
SPAN.3,SPAN,T113,,25,12,,
SPAN.4,SPAN,T114,,25,12,,
CS.1,CS,T115,,25,12,,
CS.2,CS,T116,,25,12,,
CS.3,CS,T115,,25,12,,
PE.1,PE,T117,,25,12,,
PE.2,PE,T117,,25,12,,
PE.3,PE,T117,,25,12,,
ART.1,ART,T118,,25,12,,
ART.2,ART,T119,,25,12,,
ART.3,ART,T120,,25,12,,
ART.4,ART,T118,,25,12,,
APRES.1,APRES,T121,,26,12,,
MUS.1,MUS,T119,,25,12,,
PSYCH.1,PSYCH,T110,,25,12,,
PSYCH.2,PSYCH,T111,,25,12,,
ECON.1,ECON,T112,,25,12,,
ECON.2,ECON,T110,,25,12,,
CRWR.1,CRWR,T100,,25,12,,
ROBO.1,ROBO,T116,,25,12,,
ROBO.2,ROBO,T115,,25,12,,
