student_id,name,grade,counselor_id,restricted_teacher_ids
S2026000,Student_000,12,,
S2026001,Student_001,12,,
S2026002,Student_002,12,,
S2026003,Student_003,12,,
S2026004,Student_004,12,,
S2026005,Student_005,12,,
S2026006,Student_006,12,,
S2026007,Student_007,12,,
S2026008,Student_008,12,,
S2026009,Student_009,12,,
S2026010,Student_010,12,,
S2026011,Student_011,12,,
S2026012,Student_012,12,,
S2026013,Student_013,12,,
S2026014,Student_014,12,,
S2026015,Student_015,12,,
S2026016,Student_016,12,,
S2026017,Student_017,12,,
S2026018,Student_018,12,,
S2026019,Student_019,12,,
S2026020,Student_020,12,,
S2026021,Student_021,12,,
S2026022,Student_022,12,,
S2026023,Student_023,12,,
S2026024,Student_024,12,,
S2026025,Student_025,12,,
S2026026,Student_026,12,,
S2026027,Student_027,12,,
S2026028,Student_028,12,,
S2026029,Student_029,12,,
S2026030,Student_030,12,,
S2026031,Student_031,12,,
S2026032,Student_032,12,,
S2026033,Student_033,12,,
S2026034,Student_034,12,,
S2026035,Student_035,12,,
S2026036,Student_036,12,,
S2026037,Student_037,12,,
S2026038,Student_038,12,,
S2026039,Student_039,12,,
S2026040,Student_040,12,,
S2026041,Student_041,12,,
S2026042,Student_042,12,,
S2026043,Student_043,12,,
S2026044,Student_044,12,,
S2026045,Student_045,12,,
S2026046,Student_046,12,,
S2026047,Student_047,12,,
S2026048,Student_048,12,,
S2026049,Student_049,12,,
S2026050,Student_050,12,,
S2026051,Student_051,12,,
S2026052,Student_052,12,,
S2026053,Student_053,12,,
S2026054,Student_054,12,,
S2026055,Student_055,12,,
S2026056,Student_056,12,,
S2026057,Student_057,12,,
S2026058,Student_058,12,,
S2026059,Student_059,12,,
S2026060,Student_060,12,,
S2026061,Student_061,12,,
S2026062,Student_062,12,,
S2026063,Student_063,12,,
S2026064,Student_064,12,,
S2026065,Student_065,12,,
S2026066,Student_066,12,,
S2026067,Student_067,12,,
S2026068,Student_068,12,,
S2026069,Student_069,12,,
S2026070,Student_070,12,,
S2026071,Student_071,12,,
S2026072,Student_072,12,,
S2026073,Student_073,12,,
S2026074,Student_074,12,,
S2026075,Student_075,12,,
S2026076,Student_076,12,,
S2026077,Student_077,12,,
S2026078,Student_078,12,,
S2026079,Student_079,12,,
S2026080,Student_080,12,,
S2026081,Student_081,12,,
S2026082,Student_082,12,,
S2026083,Student_083,12,,
S2026084,Student_084,12,,
S2026085,Student_085,12,,
S2026086,Student_086,12,,
S2026087,Student_087,12,,
S2026088,Student_088,12,,
S2026089,Student_089,12,,
S2026090,Student_090,12,,
S2026091,Student_091,12,,
S2026092,Student_092,12,,
S2026093,Student_093,12,,
S2026094,Student_094,12,,
S2026095,Student_095,12,,
S2026096,Student_096,12,,
S2026097,Student_097,12,,
S2026098,Student_098,12,,
S2026099,Student_099,12,,
S2026100,Student_100,12,,
S2026101,Student_101,12,,
S2026102,Student_102,12,,
S2026103,Student_103,12,,
S2026104,Student_104,12,,
S2026105,Student_105,12,,
S2026106,Student_106,12,,
S2026107,Student_107,12,,
S2026108,Student_108,12,,
S2026109,Student_109,12,,
S2026110,Student_110,12,,
S2026111,Student_111,12,,
S2026112,Student_112,12,,
S2026113,Student_113,12,,
S2026114,Student_114,12,,
S2026115,Student_115,12,,
S2026116,Student_116,12,,
S2026117,Student_117,12,,
S2026118,Student_118,12,,
S2026119,Student_119,12,,
S2026120,Student_120,12,,
S2026121,Student_121,12,,
S2026122,Student_122,12,,
S2026123,Student_123,12,,
S2026124,Student_124,12,,
S2026125,Student_125,12,,
S2026126,Student_126,12,,
S2026127,Student_127,12,,
S2026128,Student_128,12,,
S2026129,Student_129,12,,
