course_id,grade,flexibility
A0901,9,B
A1006,10,B
A1105,11,B
A1204,12,B
ADVHS01,9,F
ADVHS01,10,F
ADVHS01,11,F
ADVHS01,12,F
B0901,9,B
B1001,10,B
B1006,10,B
C0904,9,B
C0904,10,B
C0904,11,B
C0904,12,B
C0905,10,B
C0905,11,B
C0905,12,B
C0907,11,B
C0907,12,B
E0901,9,F
E1001,10,F
E1101,11,F
E1201,12,F
G0901,9,B
G0902,9,B
G0902,10,B
G1004,10,D
G1201,12,B
G1202,11,D
G1202,12,D
G1203,12,B
G1204,12,B
G1205,12,B
G1206,12,B
H0904,9,B
H1001,10,B
H1201B,11,D
H1201B,12,D
H1206,10,D
H1206,11,D
H1206,12,D
I0903,9,B
I1003,10,B
I1204,11,D
I1204,12,D
I1208,12,D
I1211,10,D
I1211,11,D
I1211,12,D
I1212,11,D
I1212,12,D
I1213,11,D
I1213,12,D
I1214,10,D
I1214,11,D
I1214,12,D
I1215,12,D
J0901,9,B
J0903,9,B
J1203,12,B
L1301,11,D
L1301,12,D
L1302,11,B
L1302,12,B
L1303,11,B
L1303,12,B
L1304,11,B
L1304,12,B
OA1304,12,D
OA1317,11,D
OA1317,12,D
OA1318,12,D
OA1319,11,D
OA1319,12,D
OA1322,12,D
OB1520,11,D
OB1520,12,D
OB1532,11,D
OB1532,12,D
OC1305,9,B
OC1305,10,B
OC1305,11,B
OC1305,12,B
OC1306,9,B
OC1306,10,B
OC1306,11,B
OC1306,12,B
OC1307,9,B
OC1307,10,B
OC1307,11,B
OC1307,12,B
OC1310,10,B
OC1310,11,B
OC1310,12,B
OC1311,10,B
OC1311,11,B
OC1311,12,B
OC1312,10,B
OC1312,11,B
OC1312,12,B
OC1313,10,D
OC1313,11,D
OC1313,12,D
OC1314,11,D
OC1314,12,D
OH1305,11,B
OH1306,12,B
OH1401,11,B
OH1501,12,B
OI1003,10,B
OI1003,11,B
OI1303,11,B
OI1303,12,B
OI1305,11,B
OI1305,12,B
OJ1203,12,B
OJ1204,12,B
OJ1306,10,D
OJ1306,11,D
OJ1306,12,D
OZ1207,12,B
OZ1313,10,D
OZ1313,11,D
OZ1313,12,D
OZ1323,10,D
OZ1323,11,D
OZ1323,12,D
OZ1333,12,B
VHS0052,10,B
VHS0052,11,B
VHS0052,12,B
