student_external_id,priority,notes
100052,B,
26009,A,
26012,A,
26023,A,
26024,A,
26040,A,
26041,A,
26106,A,
26154,A,
27001,A,
27002,A,
27003,A,
27005,A,
27006,A,
27007,B,
27008,B,
27009,B,
27010,A,
27012,A,
27014,A,
27015,A,
27017,A,
27018,A,
27019,A,
27020,A,
27022,A,
27023,A,
27024,B,
27025,A,
27026,A,
27027,A,
27028,A,
27029,A,
27030,A,
27032,A,
27035,A,
27036,A,
27038,A,
27040,A,
27041,B,
27042,A,
27043,A,
27044,A,
27046,A,
27048,A,
27049,A,
27050,A,
27051,A,
27052,A,
27053,A,
27054,A,
27055,A,
27057,B,
27058,B,
27059,A,
27060,A,
27061,A,
27063,A,
27066,A,
27067,A,
27068,A,
27071,A,
27073,A,
27074,A,
27076,A,
27077,A,
27078,A,
27079,A,
27080,A,
27081,A,
27083,A,
27085,A,
27086,A,
27088,B,
27089,A,
27090,A,
27091,A,
27092,A,
27093,A,
27094,B,
27095,A,
27096,A,
27097,A,
27098,A,
27100,B,
27101,A,
27103,A,
27104,A,
27105,A,
27106,A,
27107,A,
27108,A,
27109,A,
27110,A,
27111,A,
27112,A,
27113,A,
27114,A,
27116,A,
27118,A,
27119,A,
27120,A,
27123,A,
27124,A,
27126,A,
27127,A,
27129,A,
27130,A,
27131,A,
27132,A,
27134,A,
27138,A,
27139,A,
27140,A,
27141,A,
27142,A,
27146,A,
27147,A,
27148,A,
27151,A,
27152,B,
27160,A,
27162,A,
27163,A,
27164,A,
27169,A,
27171,A,
27172,A,
27174,A,
27179,A,
27180,A,
27183,A,
28001,B,
28002,B,
28003,B,
28004,B,
28005,B,
28006,C,
28007,B,
28008,B,
28009,B,
28010,B,
28011,B,
28013,B,
28014,B,
28015,B,
28016,B,
28017,B,
28020,B,
28022,B,
28023,C,
28024,B,
28025,B,
28026,B,
28028,B,
28029,B,
28030,B,
28031,B,
28032,C,
28034,B,
28035,B,
28036,B,
28038,B,
28039,B,
28040,B,
28041,B,
28042,B,
28043,B,
28044,B,
28045,B,
28046,C,
28047,B,
28048,B,
28049,B,
28050,B,
28051,B,
28052,B,
28053,B,
28054,B,
28055,B,
28056,B,
28057,B,
28058,B,
28060,B,
28061,B,
28062,B,
28063,B,
28064,B,
28065,B,
28066,B,
28070,B,
28071,B,
28072,B,
28073,B,
28074,B,
28075,B,
28076,B,
28077,C,
28079,B,
28081,B,
28083,B,
28084,B,
28088,B,
28089,B,
28090,B,
28093,B,
28094,B,
28095,B,
28097,B,
28098,B,
28100,B,
28101,B,
28102,B,
28103,B,
28104,B,
28105,B,
28106,B,
28107,B,
28108,B,
28109,B,
28110,B,
28111,B,
28112,B,
28113,B,
28115,B,
28116,B,
28117,B,
28118,B,
28120,A,
28121,B,
28135,B,
28136,B,
28137,B,
28139,B,
28140,B,
28142,B,
28144,C,
28146,B,
28147,B,
28157,B,
28158,B,
28159,B,
28160,C,
28161,B,
28162,B,
28163,B,
28164,B,
28165,B,
28166,B,
28168,B,
28169,B,
28170,B,
28171,B,
28173,B,
28174,B,
28175,C,
28176,B,
28177,B,
28178,B,
28181,B,
29001,C,
29002,C,
29003,C,
29004,C,
29007,C,
29008,C,
29010,C,
29011,C,
29012,C,
29014,D,
29015,C,
29016,C,
29017,D,
29018,C,
29019,C,
29020,C,
29021,C,
29022,C,
29023,C,
29024,C,
29025,C,
29027,C,
29028,C,
29029,C,
29030,C,
29032,C,
29034,C,
29035,C,
29036,C,
29037,C,
29038,C,
29039,C,
29040,C,
29041,C,
29042,C,
29043,C,
29045,C,
29046,C,
29048,C,
29049,C,
29050,C,
29052,C,
29053,C,
29056,C,
29057,C,
29058,C,
29059,C,
29061,C,
29062,C,
29065,C,
29066,C,
29067,C,
29068,C,
29069,C,
29070,C,
29071,C,
29072,C,
29073,C,
29074,C,
29075,C,
29076,C,
29077,C,
29079,C,
29080,C,
29081,C,
29083,C,
29085,C,
29087,C,
29088,C,
29089,C,
29090,D,
29091,C,
29092,C,
29096,C,
29097,C,
29098,C,
29099,C,
29100,D,
29101,C,
29102,D,
29103,C,
29106,C,
29107,C,
29108,C,
29109,C,
29110,C,
29111,C,
29112,C,
29113,C,
29114,C,
29115,C,
29116,C,
29118,C,
29119,C,
29120,C,
29122,C,
29124,C,
29125,C,
29126,C,
29128,C,
29129,C,
29131,C,
29132,C,
29133,C,
29135,C,
29136,C,
29137,C,
29138,C,
29142,C,
29143,C,
29145,C,
29148,C,
29149,C,
29153,C,
29155,C,
29156,C,
29157,C,
29158,C,
29159,C,
29161,C,
29164,C,
29170,C,
29172,C,
29173,C,
29174,C,
30001,D,
30002,D,
30003,D,
30004,D,
30005,D,
30006,D,
30007,D,
30008,D,
30009,D,
30010,D,
30011,D,
30012,D,
30013,D,
30014,D,
30015,D,
30018,D,
30019,D,
30021,D,
30022,D,
30023,D,
30024,D,
30025,D,
30026,D,
30027,D,
30029,D,
30030,D,
30031,D,
30032,D,
30033,D,
30034,D,
30036,D,
30037,D,
30038,D,
30039,D,
30042,D,
30043,D,
30045,D,
30047,D,
30048,D,
30049,D,
30050,D,
30051,D,
30052,D,
30054,D,
30055,D,
30056,D,
30057,D,
30058,D,
30059,D,
30061,D,
30062,D,
30064,D,
30065,D,
30066,D,
30069,D,
30070,D,
30072,D,
30074,D,
30075,D,
30076,D,
30077,D,
30079,D,
30080,D,
30081,D,
30082,D,
30084,D,
30085,D,
30087,D,
30089,D,
30090,D,
30092,D,
30093,D,
30094,D,
30095,D,
30097,D,
30098,D,
30100,D,
30101,D,
30102,D,
30103,D,
30104,D,
30105,D,
30106,D,
30107,D,
30109,D,
30111,D,
30112,D,
30114,D,
30117,D,
30119,D,
30120,D,
30121,D,
30122,D,
30123,D,
30124,D,
30125,D,
30126,D,
30127,D,
30134,D,
30135,D,
30136,D,
30139,D,
30141,D,
30146,D,
30147,D,
30148,D,
30153,D,
30154,D,
30155,D,
30158,D,
30160,D,
30161,D,
30162,D,
30163,D,
30164,D,
30166,D,
30169,D,
30170,D,
30172,D,
30175,D,
30176,D,
30177,D,
30179,D,
30182,D,
