course_id,name,department,max_size
OJ1204,Creative Design,Technology,25
OC1307,Drawing I,Arts,25
OC1311,Drawing II,Arts,25
A1204,Environmental Science,Science,25
H1001,English 10,English,25
H0904,English 9,English,25
OJ1203,Entrepreneurship Business Technology,Technology,25
G1203,Español & Literatura 11,Spanish,25
G1201,Español & Literatura 12,Spanish,25
G0901,Español & Literatura 9,Spanish,25
OI1303,Financial Math,Math,25
J0903,FRC 9,Technology,25
I1003,Geometry,Math,25
L1302,Introduction to Law,Social Stu,25
OH1501,Journalism Higher Level,English,25
OH1401,Journalism Intermediate Level,English,25
L1304,Life Purpose,Social Stu,25
OC1305,Painting I,Arts,25
OC1310,Painting II,Arts,25
L1303,Pensar nuestro tiempo,Social Stu,25
E1001,Physical Education and Health 10,PE,130
E1101,Physical Education and Health 11,PE,130
E1201,Physical Education and Health 12,PE,130
E0901,Physical Education and Health 9,PE,130
A1105,Physics 11,Science,25
OC1306,Sculpture I,Arts,25
OC1312,Sculpture II,Arts,25
B1001,Social Sciences 10,Social Stu,25
B0901,Social Studies 9,Social Stu,25
G1204,Spanish 10 (Foreign Language),Spanish,25
G1205,Spanish 11 (Foreign Language),Spanish,25
G1206,Spanish 12 (Foreign Language),Spanish,25
G0902,Spanish 9 (Foreign Language),Spanish,25
VHS0052,"Spanish Film, Art, and Literature",Spanish,0
OZ1333,Teacher Aide,,25
J1203,Tech. and Innovation for Social Change,Technology,25
J0901,Technology 9,Technology,25
B1006,Cultural Studies,Social Stu,25
C0907,Band Level III,Arts,25
ADVHS01,Advisory HS,,0
I0903,Algebra I 9,Math,25
OI1003,Algebra II,Math,0
OZ1207,Anatomy and Physiology,Science,25
OC1313,AP 2-D Art and Design,Arts,25
I1215,AP 3-D Art and Design,Arts,0
OA1304,AP Biology,Science,25
I1204,AP Calculus AB,Math,25
I1208,AP Calculus BC,Math,25
OA1317,AP Chemistry,Science,25
OZ1313,AP Computer Science A,Technology,25
OJ1306,AP Computer Science Principles,Technology,25
OC1314,AP Drawing,Arts,25
H1206,AP English Language & Composition,English,25
H1201B,AP English Literature and Composition,English,25
OA1318,AP Environmental Science,Science,25
OZ1323,AP Human Geography,Social Stu,25
I1212,AP Macroeconomics,Social Stu,25
I1213,AP Microeconomics,Social Stu,25
OA1319,AP Physics 1,Science,25
OA1322,AP Physics 2,Science,25
I1211,AP Precalculus,Math,25
L1301,AP Psychology,Social Stu,25
OB1532,AP Research,Technology,0
I1214,AP Seminar,English,0
G1004,AP Spanish Language and Culture,Spanish,25
G1202,AP Spanish Literature and Culture,Spanish,25
OB1520,AP Statistics,Math,25
OH1306,Art of Fiction Higher Level,English,0
OH1305,Art of Fiction Intermediate Level,English,25
C0904,Band Level I,Arts,25
C0905,Band Level II,Arts,25
A0901,Biology 9,Science,25
OI1305,Calculus,Math,25
A1006,Chemistry 10,Science,25
