student_a_id,student_b_id,relation
30101,30127,separate
30101,30034,separate
30101,30042,separate
30101,30105,separate
30101,30090,separate
30127,30090,separate
30127,30034,separate
30127,30042,separate
30127,30105,separate
30034,30042,separate
30034,30105,separate
30034,30090,separate
30034,30101,separate
30034,30127,separate
30004,30042,separate
30004,30127,separate
30023,30030,separate
30052,30163,separate
30163,30098,separate
30026,30139,separate
30026,29102,separate
30026,30163,separate
30026,30155,separate
30026,30122,separate
30026,30127,separate
30160,30127,separate
30160,30090,separate
30160,30029,separate
30160,30100,separate
30160,30101,separate
30160,30109,together
30160,30162,together
30160,30004,together
29083,29077,separate
29083,29164,separate
29083,28038,separate
29083,29069,separate
29083,29002,separate
29083,29003,together
29083,29034,together
29128,29018,together
29128,29122,together
29108,29135,together
29108,29039,together
29108,29076,together
29108,29038,separate
29108,29087,separate
29170,29049,separate
29170,29058,together
29030,29011,together
29122,29039,together
29087,29138,separate
29087,29036,separate
29087,29024,separate
29087,29145,together
29007,29112,separate
29156,29069,together
29070,29111,together
29070,29018,together
29172,29164,together
29085,29049,separate
29085,29050,separate
29085,28032,separate
29085,29068,separate
29085,29040,separate
29040,29022,separate
29040,29042,separate
29020,29087,separate
29020,28144,together
29069,28032,separate
29126,29011,together
29126,29088,together
29126,29030,together
29126,29161,together
29138,29040,separate
29138,29042,separate
29067,29040,separate
29136,29040,separate
29077,29173,separate
29011,29088,together
29011,29161,together
29018,29111,together
29018,29070,together
29018,29073,together
28020,28043,separate
28020,28028,separate
28020,28005,separate
28076,28030,together
28030,28054,together
28030,28174,together
28030,28171,together
28030,28042,together
28030,28058,separate
28174,28107,together
28174,28171,together
28174,28100,together
28174,28058,together
28174,28178,together
28107,28174,together
28107,28058,together
28107,28171,together
28107,28178,together
28025,28062,separate
28050,28071,together
28050,28178,together
28140,27041,together
28140,28048,together
28142,28036,separate
28142,28165,separate
28142,28073,separate
28062,28116,together
28062,28170,together
28062,28044,together
28062,28051,together
28088,28137,separate
28043,28036,separate
28070,28084,together
28070,28084,together
28017,28166,together
28017,28014,together
28135,28057,together
28100,28171,together
27147,26106,together
27147,27123,together
27147,27068,together
27147,27030,together
27010,27110,separate
27010,26040,separate
27010,27164,separate
27010,27042,separate
26012,27023,together
27076,27050,separate
27076,27124,separate
27148,27171,together
27148,27080,together
27080,27148,together
27080,27113,together
27080,27023,together
27080,26012,together
27080,27171,together
27109,27022,together
27101,27086,separate
27101,27151,separate
27101,27103,separate
27063,28057,together
27048,27032,separate
27048,27132,together
27048,27131,together
27048,27018,together
27048,27071,together
27048,27129,together
27048,27030,together
27048,27180,together
27048,26012,together
27042,27072,separate
27042,27124,separate
27042,27119,separate
27042,27146,separate
28100,28049,together
28100,28117,together
28100,28097,together
