student_number,course_number,action
27022,A1204,drop
27022,OI1303,drop
27022,I1204,add
27022,OA1322,add
27042,A1204,drop
27042,OC1313,drop
27042,OA1304,add
27042,OI1003,add
27068,OI1305,drop
27068,I1204,add
27071,OC1310,drop
27071,OA1304,add
27073,OA1304,drop
27073,OB1520,drop
27073,I1204,add
27073,I1208,add
27079,OB1532,drop
27079,J1203,add
27080,A1204,drop
27080,OA1318,add
27081,OB1532,drop
27081,J1203,add
27138,OZ1207,drop
27138,OA1304,add
28044,OH1401,drop
28044,H1206,add
28050,G1203,drop
28050,VHS0052,add
28111,OH1305,drop
28111,H1201B,add
28146,I1214,drop
28146,OH1305,add
28157,OI1303,drop
28157,OA1317,add
28164,L1302,drop
28164,I1212,add
28164,I1213,add
29067,C0904,drop
29067,OZ1207,add
