student_external_id,grade,student_name
28162,11,
27138,12,
29136,10,
30139,9,
27146,12,
27126,12,
30147,9,
30012,9,
29142,10,
30154,9,
29001,10,
28017,11,
30121,9,
28175,11,
29143,10,
28070,11,
29137,10,
30169,9,
27171,12,
29145,10,
30103,9,
30081,9,
28176,11,
28163,11,
29045,10,
29018,10,
28007,11,
29157,10,
27046,12,
29038,10,
28009,11,
27162,12,
29049,10,
30082,9,
30161,9,
30054,9,
29138,10,
30170,9,
27059,12,
29059,10,
27142,12,
28102,11,
30109,9,
27139,12,
27140,12,
29164,10,
28100,11,
28158,11,
30153,9,
29062,10,
28071,11,
28058,11,
30119,9,
30141,9,
29116,10,
29101,10,
28055,11,
30019,9,
30087,9,
30163,9,
28090,11,
27089,12,
27129,12,
29113,10,
29091,10,
28157,11,
30056,9,
29102,9,
30008,9,
30034,9,
28142,11,
28139,11,
30107,9,
27148,12,
28105,11,
28016,11,
30013,9,
30014,9,
30032,9,
29068,10,
28053,11,
28171,11,
30179,9,
30164,9,
28109,11,
30064,9,
26154,12,
27020,12,
27027,12,
29103,10,
27130,12,
30022,9,
27086,12,
30126,9,
28121,11,
29002,10,
28028,11,
30031,9,
30043,9,
28001,11,
30001,9,
30051,9,
30066,9,
27036,12,
27110,12,
28032,10,
28045,11,
30024,9,
29056,10,
30033,9,
27042,12,
28022,11,
27080,12,
28054,11,
30025,9,
28039,11,
30098,9,
28013,11,
28111,11,
28074,11,
30003,9,
27097,12,
27090,12,
28030,11,
27052,12,
29148,10,
28135,11,
27112,12,
30070,9,
27124,12,
27114,12,
30155,9,
28064,11,
29170,10,
28023,10,
30080,9,
30112,9,
30175,9,
28178,11,
29126,10,
28116,11,
28136,11,
29128,10,
28144,10,
29119,10,
30136,9,
29108,10,
29050,10,
28147,11,
27151,12,
28060,11,
28088,11,
27183,12,
30075,9,
28097,11,
27174,12,
29024,10,
29035,10,
27081,12,
27141,12,
27006,12,
27010,12,
29066,10,
29096,10,
27131,12,
27132,12,
28118,11,
29010,10,
30117,9,
29015,10,
27017,12,
27018,12,
27019,12,
27015,12,
27022,12,
30004,9,
27107,12,
27109,12,
27111,12,
29087,10,
28043,11,
27026,12,
27030,12,
27032,12,
27023,12,
27060,12,
27073,12,
27074,12,
30094,9,
28072,11,
27043,12,
27049,12,
27051,12,
28004,11,
28011,11,
29020,10,
29021,10,
28010,11,
28079,11,
27057,11,
27066,12,
27067,12,
28026,11,
28031,11,
28081,11,
28089,11,
27071,12,
27083,12,
27091,12,
28034,11,
28036,11,
28035,11,
29042,10,
28095,11,
28101,11,
28104,11,
28103,11,
28106,11,
27095,12,
27096,12,
27100,11,
27116,12,
27118,12,
28040,11,
28041,11,
30111,9,
28044,11,
28051,11,
28108,11,
27120,12,
28002,11,
28005,11,
28008,11,
30076,9,
28025,11,
29135,10,
28110,11,
28112,11,
28113,11,
27001,12,
27002,12,
27108,12,
28140,11,
27008,11,
27003,12,
27028,12,
27029,12,
27035,12,
27104,12,
28159,11,
28137,11,
27105,12,
27106,12,
27038,12,
27152,11,
29046,10,
29124,10,
26023,12,
26009,12,
26012,12,
27024,11,
27048,12,
27050,12,
27053,12,
30026,9,
26041,12,
26024,12,
27054,12,
27058,11,
27063,12,
30037,9,
26040,12,
27076,12,
27077,12,
29065,10,
29070,10,
29061,10,
27079,12,
27088,11,
27092,12,
27093,12,
27098,12,
27101,12,
30104,9,
27005,12,
30058,9,
27127,12,
30148,9,
28107,11,
28115,11,
26106,12,
27134,12,
28146,11,
30057,9,
28006,10,
28063,11,
27068,12,
28020,11,
27012,12,
27007,11,
28076,11,
27041,11,
27055,12,
28056,11,
28084,11,
27103,12,
28050,11,
28057,11,
27123,12,
28047,11,
27085,12,
28073,11,
28042,11,
28052,11,
28169,11,
100052,11,
28048,11,
28038,11,
28049,11,
27094,11,
28029,11,
29052,10,
27014,12,
27040,12,
29043,10,
28098,11,
29012,10,
30021,9,
28117,11,
29029,10,
29011,10,
27160,12,
29067,10,
29089,10,
28075,11,
29081,10,
29027,10,
28065,11,
28066,11,
28094,11,
28061,11,
30085,9,
29039,10,
29076,10,
28077,10,
29025,10,
29016,10,
29030,10,
29072,10,
29075,10,
29079,10,
29032,10,
29036,10,
29037,10,
29090,9,
29040,10,
29041,10,
29155,10,
29004,10,
30093,9,
29088,10,
29156,10,
29053,10,
29077,10,
27078,12,
29057,10,
29058,10,
28024,11,
29074,10,
27025,12,
29007,10,
29008,10,
29019,10,
29080,10,
28093,11,
29085,10,
29023,10,
29099,10,
28062,11,
28014,11,
29071,10,
28083,11,
29022,10,
29017,9,
29014,9,
29159,10,
29098,10,
29100,9,
28003,11,
28015,11,
29069,10,
29003,10,
29034,10,
29048,10,
30069,9,
30062,9,
27044,12,
28120,12,
30023,9,
30036,9,
30039,9,
29125,10,
29106,10,
29112,10,
30006,9,
30047,9,
30045,9,
30114,9,
30105,9,
30050,9,
27113,12,
30089,9,
29109,10,
29115,10,
30123,9,
27119,12,
27009,11,
29107,10,
29133,10,
29120,10,
30120,9,
29118,10,
30077,9,
29132,10,
30102,9,
30015,9,
29111,10,
29131,10,
29097,10,
30011,9,
30100,9,
27061,12,
29122,10,
30010,9,
29110,10,
30079,9,
30092,9,
30095,9,
30009,9,
30090,9,
29129,10,
30042,9,
30055,9,
30049,9,
30052,9,
30124,9,
30125,9,
30074,9,
29073,10,
29028,10,
30048,9,
29114,10,
30030,9,
30027,9,
30018,9,
30122,9,
30072,9,
30029,9,
30097,9,
30065,9,
30127,9,
30146,9,
30061,9,
30002,9,
30084,9,
30106,9,
30172,9,
27147,12,
30134,9,
30135,9,
30005,9,
30101,9,
30038,9,
29092,10,
28046,10,
29149,10,
30007,9,
29083,10,
30059,9,
27179,12,
28181,11,
28173,11,
29174,10,
29173,10,
