student_external_id,target_course_id,target_teacher_id
27002,OC1314,1251
27012,E1101,9822
27014,OI1003,9799
27015,OI1003,9799
27017,OC1306,3752
27018,OH1401,8307
27022,C0905,8456
27028,OZ1207,9816
27030,E1101,9822
27174,OH1501,8307
27048,A0901,9816
27049,OC1307,1251
27051,OH1305,5850
27053,E1001,6602
27055,E1101,9822
27164,OH1306,5850
27060,OC1305,1251
27061,OC1310,1251
27073,I1204,9064
27077,C0905,8456
27172,OA1319,9803
27090,I1211,4202
27092,OC1310,1251
27169,OH1305,5850
27105,A1105,9803
27120,OC1310,1251
27042,OI1003,9799
