StudentID,StudentName,Grade,CourseID,CourseName,SectionID,Slots,TeacherID,TeacherName
100052,,11,A1105,Physics 11,A1105.5,A4;C2;D5,41,
100052,,11,ADVHS01,Advisory HS,ADVHS01.24,E3,37,
100052,,11,C0904,Band Level I,C0904.3,A3;C1;D4,3,
100052,,11,E1101,Physical Education and Health 11,E1101.1,A5;C3;E1,27,
100052,,11,G1203,Español & Literatura 11,G1203.2,A1;B4;D2,36,
100052,,11,H1206,AP English Language & Composition,H1206.2,A2;B5;D3,19,
100052,,11,I1204,AP Calculus AB,I1204.2,B2;C5;E4,44,
100052,,11,I1212,AP Macroeconomics,I1212.1,B1;C4;E2,34,
100052,,11,I1213,AP Microeconomics,I1213.1,B1;C4;E2,34,
100052,,11,OJ1203,Entrepreneurship Business Technology,OJ1203.2,B3;D1;E5,22,
26009,,12,A1204,Environmental Science,A1204.3,B3;D1;E5,13,
26009,,12,ADVHS01,Advisory HS,ADVHS01.12,E3,23,
26009,,12,E1201,Physical Education and Health 12,E1201.1,A1;B4;D2,30,
26009,,12,G1201,Español & Literatura 12,G1201.3,A2;B5;D3,6,
26009,,12,I1212,AP Macroeconomics,I1212.4,A3;C1;D4,34,
26009,,12,I1213,AP Microeconomics,I1213.4,A3;C1;D4,34,
26009,,12,J1203,Tech. and Innovation for Social Change,J1203.1,B1;C4;E2,20,
26009,,12,OC1310,Painting II,OC1310.1,B2;C5;E4,46,
26009,,12,OH1501,Journalism Higher Level,OH1501.1,A4;C2;D5,43,
26009,,12,OI1305,Calculus,OI1305.2,A5;C3;E1,35,
26012,,12,ADVHS01,Advisory HS,ADVHS01.32,E3,45,
26012,,12,E1201,Physical Education and Health 12,E1201.3,A5;C3;E1,30,
26012,,12,G1201,Español & Literatura 12,G1201.4,A1;B4;D2,6,
26012,,12,H1201B,AP English Literature and Composition,H1201B.2,,23,
26012,,12,J1203,Tech. and Innovation for Social Change,J1203.2,A2;B5;D3,20,
26012,,12,L1303,Pensar nuestro tiempo,L1303.1,B2;C5;E4,24,
26012,,12,OC1314,AP Drawing,OC1314.1,B1;C4;E2,46,
26012,,12,OI1305,Calculus,OI1305.5,B3;D1;E5,44,
26012,,12,OZ1207,Anatomy and Physiology,OZ1207.1,A4;C2;D5,13,
26023,,12,ADVHS01,Advisory HS,ADVHS01.19,E3,32,
26023,,12,E1201,Physical Education and Health 12,E1201.6,A3;C1;D4,30,
26023,,12,G1201,Español & Literatura 12,G1201.2,B3;D1;E5,6,
26023,,12,J1203,Tech. and Innovation for Social Change,J1203.1,B1;C4;E2,20,
26023,,12,L1304,Life Purpose,L1304.4,A2;B5;D3,33,
26023,,12,OA1318,AP Environmental Science,OA1318.1,A1;B4;D2,13,
26023,,12,OH1501,Journalism Higher Level,OH1501.2,B2;C5;E4,43,
26023,,12,OI1303,Financial Math,OI1303.1,A4;C2;D5,4,
26023,,12,OI1305,Calculus,OI1305.2,A5;C3;E1,35,
26024,,12,ADVHS01,Advisory HS,ADVHS01.23,E3,36,
26024,,12,E1201,Physical Education and Health 12,E1201.4,B1;C4;E2,30,
26024,,12,G1201,Español & Literatura 12,G1201.3,A2;B5;D3,6,
26024,,12,J1203,Tech. and Innovation for Social Change,J1203.3,B2;C5;E4,22,
26024,,12,L1302,Introduction to Law,L1302.2,A3;C1;D4,24,
26024,,12,OA1322,AP Physics 2,OA1322.2,B3;D1;E5,31,
26024,,12,OH1306,Art of Fiction Higher Level,OH1306.1,A1;B4;D2,23,
26024,,12,OI1303,Financial Math,OI1303.1,A4;C2;D5,4,
26024,,12,OI1305,Calculus,OI1305.2,A5;C3;E1,35,
26040,,12,A1204,Environmental Science,A1204.3,B3;D1;E5,13,
26040,,12,ADVHS01,Advisory HS,ADVHS01.33,E3,46,
26040,,12,E1201,Physical Education and Health 12,E1201.3,A5;C3;E1,30,
26040,,12,G1201,Español & Literatura 12,G1201.3,A2;B5;D3,6,
26040,,12,I1212,AP Macroeconomics,I1212.4,A3;C1;D4,34,
26040,,12,I1213,AP Microeconomics,I1213.4,A3;C1;D4,34,
26040,,12,J1203,Tech. and Innovation for Social Change,J1203.5,A1;B4;D2,22,
26040,,12,OH1501,Journalism Higher Level,OH1501.2,B2;C5;E4,43,
26040,,12,OI1303,Financial Math,OI1303.1,A4;C2;D5,4,
26040,,12,OI1305,Calculus,OI1305.4,B1;C4;E2,44,
26041,,12,A1204,Environmental Science,A1204.2,B1;C4;E2,13,
26041,,12,ADVHS01,Advisory HS,ADVHS01.26,E3,40,
26041,,12,E1201,Physical Education and Health 12,E1201.6,A3;C1;D4,30,
26041,,12,G1201,Español & Literatura 12,G1201.1,B2;C5;E4,6,
26041,,12,J1203,Tech. and Innovation for Social Change,J1203.4,A5;C3;E1,22,
26041,,12,L1304,Life Purpose,L1304.2,A1;B4;D2,24,
26041,,12,OC1310,Painting II,OC1310.2,A2;B5;D3,46,
26041,,12,OH1501,Journalism Higher Level,OH1501.1,A4;C2;D5,43,
26041,,12,OI1305,Calculus,OI1305.5,B3;D1;E5,44,
26106,,12,ADVHS01,Advisory HS,ADVHS01.15,E3,26,
26106,,12,E1201,Physical Education and Health 12,E1201.1,A1;B4;D2,30,
26106,,12,G1201,Español & Literatura 12,G1201.6,A4;C2;D5,36,
26106,,12,I1212,AP Macroeconomics,I1212.4,A3;C1;D4,34,
26106,,12,I1213,AP Microeconomics,I1213.4,A3;C1;D4,34,
26106,,12,J1203,Tech. and Innovation for Social Change,J1203.2,A2;B5;D3,20,
26106,,12,L1301,AP Psychology,L1301.1,A5;C3;E1,33,
26106,,12,OA1322,AP Physics 2,OA1322.2,B3;D1;E5,31,
26106,,12,OH1306,Art of Fiction Higher Level,OH1306.2,B2;C5;E4,23,
26106,,12,OI1305,Calculus,OI1305.4,B1;C4;E2,44,
26154,,12,A1204,Environmental Science,A1204.1,A2;B5;D3,13,
26154,,12,ADVHS01,Advisory HS,ADVHS01.2,E3,4,
26154,,12,E1201,Physical Education and Health 12,E1201.5,B3;D1;E5,30,
26154,,12,G1201,Español & Literatura 12,G1201.5,A3;C1;D4,25,
26154,,12,J1203,Tech. and Innovation for Social Change,J1203.4,A5;C3;E1,22,
26154,,12,L1304,Life Purpose,L1304.2,A1;B4;D2,24,
26154,,12,OH1306,Art of Fiction Higher Level,OH1306.2,B2;C5;E4,23,
26154,,12,OI1303,Financial Math,OI1303.1,A4;C2;D5,4,
26154,,12,OI1305,Calculus,OI1305.4,B1;C4;E2,44,
27001,,12,ADVHS01,Advisory HS,ADVHS01.21,E3,34,
27001,,12,E1201,Physical Education and Health 12,E1201.4,B1;C4;E2,30,
27001,,12,G1201,Español & Literatura 12,G1201.5,A3;C1;D4,25,
27001,,12,L1304,Life Purpose,L1304.3,A4;C2;D5,33,
27001,,12,OA1318,AP Environmental Science,OA1318.1,A1;B4;D2,13,
27001,,12,OB1520,AP Statistics,OB1520.1,B3;D1;E5,37,
27001,,12,OB1532,AP Research,OB1532.1,A2;B5;D3,10,
27001,,12,OH1306,Art of Fiction Higher Level,OH1306.2,B2;C5;E4,23,
27001,,12,OI1305,Calculus,OI1305.2,A5;C3;E1,35,
27002,,12,A1204,Environmental Science,A1204.3,B3;D1;E5,13,
27002,,12,ADVHS01,Advisory HS,ADVHS01.1,E3,3,
27002,,12,E1201,Physical Education and Health 12,E1201.3,A5;C3;E1,30,
27002,,12,G1202,AP Spanish Literature and Culture,G1202.1,A3;C1;D4,6,
27002,,12,I1208,AP Calculus BC,I1208.1,A4;C2;D5,44,
27002,,12,L1304,Life Purpose,L1304.2,A1;B4;D2,24,
27002,,12,OB1532,AP Research,OB1532.1,A2;B5;D3,10,
27002,,12,OH1306,Art of Fiction Higher Level,OH1306.2,B2;C5;E4,23,
27003,,12,A1204,Environmental Science,A1204.3,B3;D1;E5,13,
27003,,12,ADVHS01,Advisory HS,ADVHS01.22,E3,35,
27003,,12,C0905,Band Level II,C0905.1,A1;B4;D2,3,
27003,,12,E1201,Physical Education and Health 12,E1201.2,A4;C2;D5,30,
27003,,12,G1201,Español & Literatura 12,G1201.5,A3;C1;D4,25,
27003,,12,J1203,Tech. and Innovation for Social Change,J1203.2,A2;B5;D3,20,
27003,,12,L1304,Life Purpose,L1304.1,A5;C3;E1,24,
27003,,12,OH1306,Art of Fiction Higher Level,OH1306.2,B2;C5;E4,23,
27003,,12,OI1305,Calculus,OI1305.4,B1;C4;E2,44,
27005,,12,ADVHS01,Advisory HS,ADVHS01.14,E3,25,
27005,,12,E1201,Physical Education and Health 12,E1201.4,B1;C4;E2,30,
27005,,12,G1201,Español & Literatura 12,G1201.2,B3;D1;E5,6,
27005,,12,I1208,AP Calculus BC,I1208.1,A4;C2;D5,44,
27005,,12,L1304,Life Purpose,L1304.2,A1;B4;D2,24,
27005,,12,OA1322,AP Physics 2,OA1322.1,A3;C1;D4,31,
27005,,12,OB1532,AP Research,OB1532.1,A2;B5;D3,10,
27005,,12,OH1501,Journalism Higher Level,OH1501.2,B2;C5;E4,43,
27005,,12,OI1303,Financial Math,OI1303.2,A5;C3;E1,4,
27006,,12,ADVHS01,Advisory HS,ADVHS01.17,E3,29,
27006,,12,E1201,Physical Education and Health 12,E1201.1,A1;B4;D2,30,
27006,,12,G1201,Español & Literatura 12,G1201.2,B3;D1;E5,6,
27006,,12,I1208,AP Calculus BC,I1208.1,A4;C2;D5,44,
27006,,12,J1203,Tech. and Innovation for Social Change,J1203.4,A5;C3;E1,22,
27006,,12,L1302,Introduction to Law,L1302.2,A3;C1;D4,24,
27006,,12,L1304,Life Purpose,L1304.4,A2;B5;D3,33,
27006,,12,OA1317,AP Chemistry,OA1317.1,B1;C4;E2,38,
27006,,12,OH1501,Journalism Higher Level,OH1501.2,B2;C5;E4,43,
27007,,11,A1105,Physics 11,A1105.2,A2;B5;D3,31,
27007,,11,ADVHS01,Advisory HS,ADVHS01.17,E3,29,
27007,,11,E1101,Physical Education and Health 11,E1101.1,A5;C3;E1,27,
27007,,11,G1203,Español & Literatura 11,G1203.2,A1;B4;D2,36,
27007,,11,L1301,AP Psychology,L1301.3,B1;C4;E2,33,
27007,,11,L1302,Introduction to Law,L1302.1,A4;C2;D5,24,
27007,,11,OC1310,Painting II,OC1310.1,B2;C5;E4,46,
27007,,11,OH1305,Art of Fiction Intermediate Level,OH1305.2,A3;C1;D4,40,
27007,,11,OI1305,Calculus,OI1305.5,B3;D1;E5,44,
27008,,11,A1105,Physics 11,A1105.3,B1;C4;E2,41,
27008,,11,ADVHS01,Advisory HS,ADVHS01.7,E3,13,
27008,,11,E1101,Physical Education and Health 11,E1101.4,A1;B4;D2,27,
27008,,11,I1212,AP Macroeconomics,I1212.2,B2;C5;E4,34,
27008,,11,I1213,AP Microeconomics,I1213.2,B2;C5;E4,34,
27008,,11,OC1305,Painting I,OC1305.3,A5;C3;E1,5,
27008,,11,OH1305,Art of Fiction Intermediate Level,OH1305.2,A3;C1;D4,40,
27008,,11,OI1003,Algebra II,OI1003.3,A4;C2;D5,8,
27008,,11,OZ1207,Anatomy and Physiology,OZ1207.2,A2;B5;D3,49,
27008,,11,VHS0052,"Spanish Film, Art, and Literature",VHS0052.1,B3;D1;E5,25,
27009,,11,ADVHS01,Advisory HS,ADVHS01.15,E3,26,
27009,,11,C0904,Band Level I,C0904.1,B1;C4;E2,3,
27009,,11,E1101,Physical Education and Health 11,E1101.3,B3;D1;E5,27,
27009,,11,G1203,Español & Literatura 11,G1203.2,A1;B4;D2,36,
27009,,11,I1211,AP Precalculus,I1211.1,A3;C1;D4,4,
27009,,11,L1301,AP Psychology,L1301.1,A5;C3;E1,33,
27009,,11,OA1319,AP Physics 1,OA1319.2,B2;C5;E4,31,
27009,,11,OH1305,Art of Fiction Intermediate Level,OH1305.3,A2;B5;D3,40,
27009,,11,OJ1204,Creative Design,OJ1204.1,A4;C2;D5,21,
27010,,12,A1204,Environmental Science,A1204.1,A2;B5;D3,13,
27010,,12,ADVHS01,Advisory HS,ADVHS01.16,E3,28,
27010,,12,E1201,Physical Education and Health 12,E1201.6,A3;C1;D4,30,
27010,,12,G1201,Español & Literatura 12,G1201.4,A1;B4;D2,6,
27010,,12,I1212,AP Macroeconomics,I1212.1,B1;C4;E2,34,
27010,,12,I1213,AP Microeconomics,I1213.1,B1;C4;E2,34,
27010,,12,J1203,Tech. and Innovation for Social Change,J1203.4,A5;C3;E1,22,
27010,,12,OC1310,Painting II,OC1310.1,B2;C5;E4,46,
27010,,12,OH1501,Journalism Higher Level,OH1501.1,A4;C2;D5,43,
27010,,12,OI1305,Calculus,OI1305.5,B3;D1;E5,44,
27012,,12,A1204,Environmental Science,A1204.2,B1;C4;E2,13,
27012,,12,ADVHS01,Advisory HS,ADVHS01.12,E3,23,
27012,,12,E1201,Physical Education and Health 12,E1201.5,B3;D1;E5,30,
27012,,12,G1201,Español & Literatura 12,G1201.5,A3;C1;D4,25,
27012,,12,J1203,Tech. and Innovation for Social Change,J1203.2,A2;B5;D3,20,
27012,,12,L1304,Life Purpose,L1304.2,A1;B4;D2,24,
27012,,12,OH1501,Journalism Higher Level,OH1501.2,B2;C5;E4,43,
27012,,12,OI1305,Calculus,OI1305.3,A4;C2;D5,35,
27014,,12,ADVHS01,Advisory HS,ADVHS01.18,E3,31,
27014,,12,E1201,Physical Education and Health 12,E1201.4,B1;C4;E2,30,
27014,,12,G1202,AP Spanish Literature and Culture,G1202.1,A3;C1;D4,6,
27014,,12,J1203,Tech. and Innovation for Social Change,J1203.3,B2;C5;E4,22,
27014,,12,L1304,Life Purpose,L1304.4,A2;B5;D3,33,
27014,,12,OA1322,AP Physics 2,OA1322.2,B3;D1;E5,31,
27014,,12,OB1520,AP Statistics,OB1520.2,A5;C3;E1,37,
27014,,12,OH1501,Journalism Higher Level,OH1501.1,A4;C2;D5,43,
27015,,12,ADVHS01,Advisory HS,ADVHS01.2,E3,4,
27015,,12,E1201,Physical Education and Health 12,E1201.4,B1;C4;E2,30,
27015,,12,G1201,Español & Literatura 12,G1201.2,B3;D1;E5,6,
27015,,12,J1203,Tech. and Innovation for Social Change,J1203.2,A2;B5;D3,20,
27015,,12,L1304,Life Purpose,L1304.2,A1;B4;D2,24,
27015,,12,OA1304,AP Biology,OA1304.1,A4;C2;D5,7,
27015,,12,OH1501,Journalism Higher Level,OH1501.2,B2;C5;E4,43,
27015,,12,OI1305,Calculus,OI1305.2,A5;C3;E1,35,
27017,,12,A1204,Environmental Science,A1204.2,B1;C4;E2,13,
27017,,12,ADVHS01,Advisory HS,ADVHS01.12,E3,23,
27017,,12,E1201,Physical Education and Health 12,E1201.3,A5;C3;E1,30,
27017,,12,G1201,Español & Literatura 12,G1201.4,A1;B4;D2,6,
27017,,12,J1203,Tech. and Innovation for Social Change,J1203.3,B2;C5;E4,22,
27017,,12,L1304,Life Purpose,L1304.4,A2;B5;D3,33,
27017,,12,OH1501,Journalism Higher Level,OH1501.1,A4;C2;D5,43,
27017,,12,OI1305,Calculus,OI1305.5,B3;D1;E5,44,
