StudentID,StudentName,Grade,CourseID,CourseName,SectionID,Slots,TeacherID,TeacherName
100052,,11,A1105,Physics 11,A1105.5,A4;C2;D5,41,
100052,,11,ADVHS01,Advisory HS,ADVHS01.3,E3,5,
100052,,11,C0904,Band Level I,C0904.4,B2;C5;E4,3,
100052,,11,E1101,Physical Education and Health 11,E1101.1,A5;C3;E1,27,
100052,,11,G1203,Español & Literatura 11,G1203.2,A1;B4;D2,36,
100052,,11,H1206,AP English Language & Composition,H1206.1,A3;C1;D4,19,
100052,,11,I1204,AP Calculus AB,I1204.1,A2;B5;D3,44,
100052,,11,I1212,AP Macroeconomics,I1212.1,B1;C4;E2,34,
100052,,11,I1213,AP Microeconomics,I1213.1,B1;C4;E2,34,
100052,,11,OJ1203,Entrepreneurship Business Technology,OJ1203.2,B3;D1;E5,22,
26009,,12,A1204,Environmental Science,A1204.1,A2;B5;D3,13,
26009,,12,ADVHS01,Advisory HS,ADVHS01.5,E3,7,
26009,,12,E1201,Physical Education and Health 12,E1201.3,A5;C3;E1,30,
26009,,12,G1201,Español & Literatura 12,G1201.2,B3;D1;E5,6,
26009,,12,I1212,AP Macroeconomics,I1212.1,B1;C4;E2,34,
26009,,12,I1213,AP Microeconomics,I1213.1,B1;C4;E2,34,
26009,,12,J1203,Tech. and Innovation for Social Change,J1203.5,A1;B4;D2,22,
26009,,12,OC1310,Painting II,OC1310.3,A3;C1;D4,46,
26009,,12,OH1501,Journalism Higher Level,OH1501.2,B2;C5;E4,43,
26009,,12,OI1305,Calculus,OI1305.3,A4;C2;D5,35,
26012,,12,ADVHS01,Advisory HS,ADVHS01.33,E3,46,
26012,,12,E1201,Physical Education and Health 12,E1201.5,B3;D1;E5,30,
26012,,12,G1201,Español & Literatura 12,G1201.3,A2;B5;D3,6,
26012,,12,H1201B,AP English Literature and Composition,H1201B.1,A3;C1;D4,23,
26012,,12,J1203,Tech. and Innovation for Social Change,J1203.4,A5;C3;E1,22,
26012,,12,L1303,Pensar nuestro tiempo,L1303.1,B2;C5;E4,24,
26012,,12,OI1305,Calculus,OI1305.4,B1;C4;E2,44,
26012,,12,OZ1207,Anatomy and Physiology,OZ1207.1,A4;C2;D5,13,
26023,,12,ADVHS01,Advisory HS,ADVHS01.26,E3,40,
26023,,12,E1201,Physical Education and Health 12,E1201.6,A3;C1;D4,30,
26023,,12,G1201,Español & Literatura 12,G1201.2,B3;D1;E5,6,
26023,,12,J1203,Tech. and Innovation for Social Change,J1203.3,B2;C5;E4,22,
26023,,12,L1304,Life Purpose,L1304.4,A2;B5;D3,33,
26023,,12,OA1318,AP Environmental Science,OA1318.1,A1;B4;D2,13,
26023,,12,OH1501,Journalism Higher Level,OH1501.1,A4;C2;D5,43,
26023,,12,OI1303,Financial Math,OI1303.2,A5;C3;E1,4,
26023,,12,OI1305,Calculus,OI1305.4,B1;C4;E2,44,
26024,,12,ADVHS01,Advisory HS,ADVHS01.4,E3,6,
26024,,12,E1201,Physical Education and Health 12,E1201.4,B1;C4;E2,30,
26024,,12,G1201,Español & Literatura 12,G1201.3,A2;B5;D3,6,
26024,,12,J1203,Tech. and Innovation for Social Change,J1203.5,A1;B4;D2,22,
26024,,12,L1302,Introduction to Law,L1302.2,A3;C1;D4,24,
26024,,12,OA1322,AP Physics 2,OA1322.2,B3;D1;E5,31,
26024,,12,OH1306,Art of Fiction Higher Level,OH1306.2,B2;C5;E4,23,
26024,,12,OI1303,Financial Math,OI1303.1,A4;C2;D5,4,
26024,,12,OI1305,Calculus,OI1305.2,A5;C3;E1,35,
26040,,12,A1204,Environmental Science,A1204.2,B1;C4;E2,13,
26040,,12,ADVHS01,Advisory HS,ADVHS01.9,E3,20,
26040,,12,E1201,Physical Education and Health 12,E1201.2,A4;C2;D5,30,
26040,,12,G1201,Español & Literatura 12,G1201.3,A2;B5;D3,6,
26040,,12,I1212,AP Macroeconomics,I1212.4,A3;C1;D4,34,
26040,,12,I1213,AP Microeconomics,I1213.4,A3;C1;D4,34,
26040,,12,J1203,Tech. and Innovation for Social Change,J1203.5,A1;B4;D2,22,
26040,,12,OH1501,Journalism Higher Level,OH1501.2,B2;C5;E4,43,
26040,,12,OI1303,Financial Math,OI1303.2,A5;C3;E1,4,
26040,,12,OI1305,Calculus,OI1305.5,B3;D1;E5,44,
26041,,12,A1204,Environmental Science,A1204.3,B3;D1;E5,13,
26041,,12,ADVHS01,Advisory HS,ADVHS01.33,E3,46,
26041,,12,E1201,Physical Education and Health 12,E1201.6,A3;C1;D4,30,
26041,,12,G1201,Español & Literatura 12,G1201.4,A1;B4;D2,6,
26041,,12,J1203,Tech. and Innovation for Social Change,J1203.1,B1;C4;E2,20,
26041,,12,L1304,Life Purpose,L1304.1,A5;C3;E1,24,
