StudentID,StudentName,Grade,CourseID,CourseName,SectionID,Period,Slots,TeacherID,TeacherName,RoomID,RoomName
100052,,11,H1206,AP English Language & Composition,H1206.1,2,A3;C1;D4,19,,,
100052,,11,I1212,AP Macroeconomics,I1212.3,3,B3;D1;E5,34,,,
100052,,11,I1213,AP Microeconomics,I1213.3,3,B3;D1;E5,34,,,
100052,,11,C0904,Band Level I,C0904.1,4,B1;C4;E2,3,,,
100052,,11,E1101,Physical Education and Health 11,E1101.4,5,A1;B4;D2,27,,,
100052,,11,A1105,Physics 11,A1105.5,6,A4;C2;D5,41,,,
100052,,11,G1203,Español & Literatura 11,G1203.1,7,A2;B5;D3,36,,,
100052,,11,I1204,AP Calculus AB,I1204.2,8,B2;C5;E4,44,,,
100052,,11,ADVHS01,Advisory HS,ADVHS01.13,9,E3,24,,,
26009,,12,OI1305,Calculus,OI1305.2,1,A5;C3;E1,35,,,
26009,,12,E1201,Physical Education and Health 12,E1201.6,2,A3;C1;D4,30,,,
26009,,12,A1204,Environmental Science,A1204.3,3,B3;D1;E5,13,,,
26009,,12,I1212,AP Macroeconomics,I1212.1,4,B1;C4;E2,34,,,
26009,,12,I1213,AP Microeconomics,I1213.1,4,B1;C4;E2,34,,,
26009,,12,J1203,Tech. and Innovation for Social Change,J1203.5,5,A1;B4;D2,22,,,
26009,,12,G1201,Español & Literatura 12,G1201.6,6,A4;C2;D5,36,,,
26009,,12,OC1310,Painting II,OC1310.2,7,A2;B5;D3,46,,,
26009,,12,OH1501,Journalism Higher Level,OH1501.2,8,B2;C5;E4,43,,,
26009,,12,ADVHS01,Advisory HS,ADVHS01.20,9,E3,33,,,
26012,,12,H1201B,AP English Literature and Composition,H1201B.2,0,,23,,,
26012,,12,OI1305,Calculus,OI1305.2,1,A5;C3;E1,35,,,
26012,,12,E1201,Physical Education and Health 12,E1201.5,3,B3;D1;E5,30,,,
26012,,12,J1203,Tech. and Innovation for Social Change,J1203.1,4,B1;C4;E2,20,,,
26012,,12,OZ1207,Anatomy and Physiology,OZ1207.1,6,A4;C2;D5,13,,,
26012,,12,G1201,Español & Literatura 12,G1201.3,7,A2;B5;D3,6,,,
26012,,12,L1303,Pensar nuestro tiempo,L1303.1,8,B2;C5;E4,24,,,
26012,,12,ADVHS01,Advisory HS,ADVHS01.27,9,E3,41,,,
26023,,12,OI1303,Financial Math,OI1303.2,1,A5;C3;E1,4,,,
26023,,12,E1201,Physical Education and Health 12,E1201.6,2,A3;C1;D4,30,,,
26023,,12,G1201,Español & Literatura 12,G1201.2,3,B3;D1;E5,6,,,
26023,,12,J1203,Tech. and Innovation for Social Change,J1203.1,4,B1;C4;E2,20,,,
26023,,12,OA1318,AP Environmental Science,OA1318.1,5,A1;B4;D2,13,,,
26023,,12,OH1501,Journalism Higher Level,OH1501.1,6,A4;C2;D5,43,,,
26023,,12,L1304,Life Purpose,L1304.4,7,A2;B5;D3,33,,,
26023,,12,OI1305,Calculus,OI1305.1,8,B2;C5;E4,35,,,
26023,,12,ADVHS01,Advisory HS,ADVHS01.27,9,E3,41,,,
26024,,12,E1201,Physical Education and Health 12,E1201.3,1,A5;C3;E1,30,,,
