StudentID,StudentName,Grade,CourseID,CourseName,SectionID,Period,Slots,TeacherID,TeacherName,RoomID,RoomName
29038,,0,H1206,AP English Language & Composition,H1206.2,2,A2;B5;D3,19,,,
29038,,0,B1006,Cultural Studies,B1006.2,7,B2;C5;E4,32,,,
29038,,0,VHS0052,Spanish Film, Art, and Literature,VHS0052.2,1,A1;B4;D2,25,,,
29038,,0,E1001,Physical Education and Health 10,E1001.5,3,A3;C1;D4,12,,,
29038,,0,B1001,Social Sciences 10,B1001.1,6,B1;C4;E2,25,,,
29038,,0,I1003,Geometry,I1003.6,8,B3;D1;E5,42,,,
29038,,0,A1006,Chemistry 10,A1006.7,4,A4;C2;D5,38,,,
29038,,0,ADVHS01,Advisory HS,ADVHS01.4,9,E3,6,,,
28094,,0,OH1305,Art of Fiction Intermediate Level,OH1305.3,2,A2;B5;D3,40,,,
28094,,0,G1203,Español & Literatura 11,G1203.4,7,B2;C5;E4,36,,,
28094,,0,L1304,Life Purpose,L1304.3,4,A4;C2;D5,33,,,
28094,,0,A1105,Physics 11,A1105.1,8,B3;D1;E5,7,,,
28094,,0,E1101,Physical Education and Health 11,E1101.6,6,B1;C4;E2,27,,,
28094,,0,OI1003,Algebra II,OI1003.4,5,A5;C3;E1,8,,,
28094,,0,ADVHS01,Advisory HS,ADVHS01.10,9,E3,21,,,
28094,,0,OJ1203,Entrepreneurship Business Technology,OJ1203.1,3,A3;C1;D4,22,,,
27057,,0,OA1319,AP Physics 1,OA1319.2,7,B2;C5;E4,31,,,
27057,,0,OB1520,AP Statistics,OB1520.1,8,B3;D1;E5,37,,,
27057,,0,OH1305,Art of Fiction Intermediate Level,OH1305.1,4,A4;C2;D5,23,,,
27057,,0,G1203,Español & Literatura 11,G1203.1,2,A2;B5;D3,36,,,
27057,,0,L1304,Life Purpose,L1304.2,1,A1;B4;D2,24,,,
27057,,0,E1101,Physical Education and Health 11,E1101.1,5,A5;C3;E1,27,,,
27057,,0,OI1003,Algebra II,OI1003.5,3,A3;C1;D4,8,,,
27057,,0,ADVHS01,Advisory HS,ADVHS01.17,9,E3,29,,,
29014,,0,OC1306,Sculpture I,OC1306.1,3,A3;C1;D4,5,,,
29014,,0,J0901,Technology 9,J0901.1,6,B1;C4;E2,21,,,
29014,,0,I0903,Algebra I 9,I0903.3,4,A4;C2;D5,37,,,
29014,,0,E0901,Physical Education and Health 9,E0901.6,8,B3;D1;E5,9,,,
29014,,0,A0901,Biology 9,A0901.5,1,A1;B4;D2,49,,,
29014,,0,H0904,English 9,H0904.4,2,A2;B5;D3,29,,,
29014,,0,B0901,Social Studies 9,B0901.7,7,B2;C5;E4,40,,,
29014,,0,G0901,Español & Literatura 9,G0901.4,5,A5;C3;E1,28,,,
29014,,0,ADVHS01,Advisory HS,ADVHS01.6,9,E3,8,,,
27180,,0,OZ1207,Anatomy and Physiology,OZ1207.2,2,A2;B5;D3,49,,,
27180,,0,OH1306,Art of Fiction Higher Level,OH1306.2,7,B2;C5;E4,23,,,
27180,,0,L1304,Life Purpose,L1304.3,4,A4;C2;D5,33,,,
27180,,0,J1203,Tech. and Innovation for Social Change,J1203.4,5,A5;C3;E1,22,,,
27180,,0,OI1305,Calculus,OI1305.5,8,B3;D1;E5,44,,,
27180,,0,G1201,Español & Literatura 12,G1201.4,1,A1;B4;D2,6,,,
27180,,0,E1201,Physical Education and Health 12,E1201.6,3,A3;C1;D4,30,,,
27180,,0,ADVHS01,Advisory HS,ADVHS01.8,9,E3,19,,,
27180,,0,B1001,Social Sciences 10,B1001.1,6,B1;C4;E2,25,,,
30158,,0,J0901,Technology 9,J0901.2,3,A3;C1;D4,21,,,
30158,,0,OC1305,Painting I,OC1305.4,1,A1;B4;D2,46,,,
30158,,0,E0901,Physical Education and Health 9,E0901.5,7,B2;C5;E4,9,,,
30158,,0,A0901,Biology 9,A0901.4,6,B1;C4;E2,49,,,
30158,,0,H0904,English 9,H0904.6,4,A4;C2;D5,15,,,
30158,,0,B0901,Social Studies 9,B0901.3,2,A2;B5;D3,32,,,
30158,,0,G0901,Español & Literatura 9,G0901.7,8,B3;D1;E5,48,,,
30158,,0,I1003,Geometry,I1003.7,5,A5;C3;E1,42,,,
30158,,0,ADVHS01,Advisory HS,ADVHS01.2,9,E3,4,,,
27110,,0,OH1501,Journalism Higher Level,OH1501.2,7,B2;C5;E4,43,,,
27110,,0,L1302,Introduction to Law,L1302.2,3,A3;C1;D4,24,,,
27110,,0,A1204,Environmental Science,A1204.1,2,A2;B5;D3,13,,,
27110,,0,OI1303,Financial Math,OI1303.1,4,A4;C2;D5,4,,,
27110,,0,J1203,Tech. and Innovation for Social Change,J1203.4,5,A5;C3;E1,22,,,
27110,,0,OI1305,Calculus,OI1305.5,8,B3;D1;E5,44,,,
27110,,0,G1201,Español & Literatura 12,G1201.4,1,A1;B4;D2,6,,,
27110,,0,E1201,Physical Education and Health 12,E1201.4,6,B1;C4;E2,30,,,
27110,,0,ADVHS01,Advisory HS,ADVHS01.35,9,E3,48,,,
30087,,0,OC1306,Sculpture I,OC1306.1,3,A3;C1;D4,5,,,
30087,,0,J0901,Technology 9,J0901.3,5,A5;C3;E1,21,,,
30087,,0,E0901,Physical Education and Health 9,E0901.4,4,A4;C2;D5,9,,,
30087,,0,A0901,Biology 9,A0901.3,8,B3;D1;E5,49,,,
30087,,0,H0904,English 9,H0904.3,6,B1;C4;E2,29,,,
30087,,0,B0901,Social Studies 9,B0901.4,1,A1;B4;D2,34,,,
30087,,0,G0901,Español & Literatura 9,G0901.6,7,B2;C5;E4,48,,,
30087,,0,I1003,Geometry,I1003.2,2,A2;B5;D3,35,,,
30087,,0,ADVHS01,Advisory HS,ADVHS01.30,9,E3,15,,,
28175,,0,OA1319,AP Physics 1,OA1319.2,7,B2;C5;E4,31,,,
28175,,0,OB1520,AP Statistics,OB1520.1,8,B3;D1;E5,37,,,
28175,,0,I1214,AP Seminar,I1214.2,5,A5;C3;E1,19,,,
28175,,0,L1304,Life Purpose,L1304.3,4,A4;C2;D5,33,,,
28175,,0,E1101,Physical Education and Health 11,E1101.6,6,B1;C4;E2,27,,,
28175,,0,ADVHS01,Advisory HS,ADVHS01.2,9,E3,4,,,
28175,,0,B1001,Social Sciences 10,B1001.3,3,A3;C1;D4,26,,,
28110,,0,OB1520,AP Statistics,OB1520.2,5,A5;C3;E1,37,,,
28110,,0,OH1305,Art of Fiction Intermediate Level,OH1305.1,4,A4;C2;D5,23,,,
28110,,0,G1203,Español & Literatura 11,G1203.2,1,A1;B4;D2,36,,,
28110,,0,I1213,AP Microeconomics,I1213.1,6,B1;C4;E2,34,,,
28110,,0,I1212,AP Macroeconomics,I1212.1,6,B1;C4;E2,34,,,
28110,,0,A1105,Physics 11,A1105.2,2,A2;B5;D3,31,,,
28110,,0,E1101,Physical Education and Health 11,E1101.2,7,B2;C5;E4,27,,,
28110,,0,OI1003,Algebra II,OI1003.5,3,A3;C1;D4,8,,,
28110,,0,ADVHS01,Advisory HS,ADVHS01.27,9,E3,41,,,
29023,,0,H1001,English 10,H1001.4,8,B3;D1;E5,15,,,
29023,,0,OZ1323,AP Human Geography,OZ1323.4,7,B2;C5;E4,45,,,
29023,,0,OI1003,Algebra II,OI1003.4,5,A5;C3;E1,8,,,
29023,,0,E1001,Physical Education and Health 10,E1001.5,3,A3;C1;D4,12,,,
29023,,0,A1006,Chemistry 10,A1006.1,6,B1;C4;E2,7,,,
29023,,0,B1001,Social Sciences 10,B1001.6,4,A4;C2;D5,26,,,
29023,,0,G1004,AP Spanish Language and Culture,G1004.2,2,A2;B5;D3,47,,,
29023,,0,ADVHS01,Advisory HS,ADVHS01.29,9,E3,43,,,
27020,,0,OA1317,AP Chemistry,OA1317.1,6,B1;C4;E2,38,,,
27020,,0,OH1306,Art of Fiction Higher Level,OH1306.1,1,A1;B4;D2,23,,,
27020,,0,L1301,AP Psychology,L1301.2,3,A3;C1;D4,33,,,
27020,,0,J1203,Tech. and Innovation for Social Change,J1203.4,5,A5;C3;E1,22,,,
27020,,0,OI1305,Calculus,OI1305.1,7,B2;C5;E4,35,,,
27020,,0,G1201,Español & Literatura 12,G1201.6,4,A4;C2;D5,36,,,
27020,,0,E1201,Physical Education and Health 12,E1201.5,8,B3;D1;E5,30,,,
27020,,0,ADVHS01,Advisory HS,ADVHS01.13,9,E3,24,,,
27020,,0,OC1305,Painting I,OC1305.1,2,A2;B5;D3,5,,,
30005,,0,OC1306,Sculpture I,OC1306.1,3,A3;C1;D4,5,,,
30005,,0,J0903,FRC 9,J0903.2,1,A1;B4;D2,20,,,
30005,,0,E0901,Physical Education and Health 9,E0901.1,5,A5;C3;E1,9,,,
30005,,0,A0901,Biology 9,A0901.6,4,A4;C2;D5,49,,,
30005,,0,H0904,English 9,H0904.2,8,B3;D1;E5,29,,,
30005,,0,B0901,Social Studies 9,B0901.6,6,B1;C4;E2,40,,,
30005,,0,G0901,Español & Literatura 9,G0901.1,2,A2;B5;D3,28,,,
30005,,0,I1003,Geometry,I1003.3,7,B2;C5;E4,42,,,
30005,,0,ADVHS01,Advisory HS,ADVHS01.15,9,E3,26,,,
29092,,0,I1214,AP Seminar,I1214.1,1,A1;B4;D2,19,,,
29092,,0,OZ1323,AP Human Geography,OZ1323.3,6,B1;C4;E2,45,,,
29092,,0,OI1003,Algebra II,OI1003.1,2,A2;B5;D3,4,,,
29092,,0,E1001,Physical Education and Health 10,E1001.4,7,B2;C5;E4,12,,,
29092,,0,A1006,Chemistry 10,A1006.7,4,A4;C2;D5,38,,,
29092,,0,B1001,Social Sciences 10,B1001.7,5,A5;C3;E1,26,,,
29092,,0,G1004,AP Spanish Language and Culture,G1004.3,3,A3;C1;D4,47,,,
29092,,0,ADVHS01,Advisory HS,ADVHS01.7,9,E3,13,,,
30076,,0,J0901,Technology 9,J0901.2,3,A3;C1;D4,21,,,
30076,,0,OC1305,Painting I,OC1305.4,1,A1;B4;D2,46,,,
30076,,0,E0901,Physical Education and Health 9,E0901.6,8,B3;D1;E5,9,,,
30076,,0,A0901,Biology 9,A0901.1,5,A5;C3;E1,41,,,
30076,,0,H0904,English 9,H0904.1,7,B2;C5;E4,29,,,
30076,,0,B0901,Social Studies 9,B0901.3,2,A2;B5;D3,32,,,
30076,,0,G0901,Español & Literatura 9,G0901.3,4,A4;C2;D5,28,,,
30076,,0,I1003,Geometry,I1003.1,6,B1;C4;E2,35,,,
30076,,0,ADVHS01,Advisory HS,ADVHS01.27,9,E3,41,,,
27119,,0,L1303,Pensar nuestro tiempo,L1303.1,7,B2;C5;E4,24,,,
27119,,0,I1208,AP Calculus BC,I1208.1,4,A4;C2;D5,44,,,
27119,,0,G1202,AP Spanish Literature and Culture,G1202.1,3,A3;C1;D4,6,,,
27119,,0,OH1306,Art of Fiction Higher Level,OH1306.3,8,B3;D1;E5,23,,,
27119,,0,A1204,Environmental Science,A1204.1,2,A2;B5;D3,13,,,
27119,,0,J1203,Tech. and Innovation for Social Change,J1203.5,1,A1;B4;D2,22,,,
27119,,0,E1201,Physical Education and Health 12,E1201.3,5,A5;C3;E1,30,,,
27119,,0,ADVHS01,Advisory HS,ADVHS01.24,9,E3,37,,,
27044,,0,L1303,Pensar nuestro tiempo,L1303.1,7,B2;C5;E4,24,,,
27044,,0,OA1322,AP Physics 2,OA1322.2,8,B3;D1;E5,31,,,
